,0
83,"Aerial locomotion, Harper (E. H.) and Ferguson
(A.) is. net
June 11"
84,"Aerial navigation, Zahm (A. F.) 125. 6d. net
Nov. 11"
85,"Aerial or wire-rope ways, Wallis-Tayler (A. J.)
75. 6d. net
.. Jan. II"
86,"Aeronautical Society of Great Britain.-First
report of the Bird Construction Committee.
Compiled by Col. J. D. Fullerton. 4to. 91 X 12,
pp. 62, ios. 6d. net AERONAUTICAL Soc., June ii"
87,"Aeronautics : Conquest of the air, Berget (A.)
6s. net
June II"
88,"Aeronautics, Elem., Thurston (A. P.) 35. 6d. net
Feb. II"
89,"Aeronautics : Gliding, Pilcher (P. S) is. net
Mar. II"
90,"Aeronautics, Romance of, Turner (C. C.) 5s.
Sep. II"
91,"Aeronautics report for 1910-11, IS. 2d.
WYMAN, Jan. II"
92,"Aeronautics report, 1910-11 (post free), 2d.
WYMAN, June II"
93,"Aeronautics—Technical report, 1910-11 (post
free), 6s, 4d...
. WYMAN, Aug. 11"
94,"Aeroplane, Grahame-White (c.) and Harper (H.)
May II"
95,"Aeroplane construction, Kennedy (R.) 5s. net
Mar. 11"
96,"Aeroplane: elem. text-bk., Hubbard (T. O'B.)
28. 6d. net
..Feb. II"
97,"Aeroplane, How to build an, Petit (R.) 28. 6d.
net
Mar. 11"
98,"Aeroplanes, Natural stability and parachute
principle, Le Maitre (W.) is. 6d. net..Sep. 11"
99,"Aeroplanes : Stability in aviation, Bryan (G. H.)
Nov. 11"
100,"Aeschylus-Agamemnon. Freely trans. by A.
Pratt. Cr. 8vo., 25. 6d. net RICHARDS, May II"
101,"Æschylus-Agamemnon. The Greek text with
English verse translation parallel. By Sixth
Form Boys of Bradfield College. Cr. 8vo.,
swd. is. 60....
...FROWDE, May II"
102,"Æsop-Fables. A New version, chiefly from the
original sources, by Thomas James. Illus.
Pop. edit. Cr. 8vo., pp. 168, is. net
MURRAY. Dec, II"
103,"Æsop's Fables. Illus. by Harrison Weir. 8vo.,
3s.
6d....
.WARD, L., May it
Æsthetic judgment, Critique of, Kant's, 1os. 6d.
net
.July 11"
104,"Æsthetics, Egyptian, Francis (R.) 78. 6d. net
Nov. II"
105,"Æthelwold (Saint)—Benedictional (priv. printed)
June II"
106,"Affairs of John Bolsover, Silberrad (U. L.) 7d. net
Oot. II"
107,"15s, net..
5s, net
B 2"
108,"African, S., exploration, Anderson (C. J.) 6d.
Oct. 11"
109,"African, South, Who's who, 1911. 215. net July II"
110,"African, West, categories, Dennett (R. E.) is. net
Sep. 11"
111,"African wood, Babes in the, Barnes (R. G.)
6s. net..
Dec. II"
112,"After Life, Bucklc (H.) 3s. net
Jan. II"
113,"Afterdeath, Brandon (H.) 35. 6d. net ..Mar. II"
114,"Afterglow, Baldwin (Mrs. A.) 35. 6d, net.. Oct. II"
115,"Agamemnon, Æschylus (Bradfield Col.) is. 6d.
May II"
116,"Agamemnon, Aeschylus (Pratt) 25. 6d. net May 11"
117,"Agar (Madeline)-Garden design in theory and
practice. 8vo. 9 X5), pp. 288, 75. 6d. net
SIDGWICK & J., Dec. II"
118,"Age of folly, Rolleston (C. J.) 5s. net.. .Nov. II"
119,"Age of gold, Jefferies (W. H.) 25. net.
...... Nov, II"
120,"Aggs (W. H.)— The Licensing (Consolidation)
Act, 1910, and the Licensing Rules. 8vo., swd.,
3s. 6d. net
SWEET & M., Jan. II"
121,"Aggs (W. H.)—Statutes of practical utility passed
in 1910. Cr. 8vo. 7s. 6d. SWEET & M., Feb. II"
122,"Agnes Dewsbury, Barter-Snow (L. A.) 25. May it
Agnes of Edinburgh, Armour (M.) 6s. ....Sep. II"
123,"Agnew (Georgette)—The Bread upon the waters.
Cr. 8vo. 74 X5, pp. 300, 6s.
HEINEMANN, Apr. II"
124,"Agnew (J. W.) see Neave (G. B.) and Agnew
Agnew (Joseph)-Life's Christ places. Cr. 8vo.
71 X4), pp. 216, 35, 6d. net
T. & T. CLARK, Nov. II"
125,"Agnew (W. A.)-The Electric tramcar handbook.
6th edit. Cr. 8vo., pp. 132, limp, Is. 6d. net
ALABASTER, Dec. II"
126,"Agonists, Hewlett (M.) 49. 6d. net.. May II"
127,"Agreements, Forms of, Moore's. 225. 6d. Nov, II"
128,"Agricola, Tacitus, (Stuart) 25.
Mar. 11"
129,"Agricultural and forest products of Brit. W.
Africa, Dudgeon (G. C.) 5s. net........Aug. II"
130,"Agricultural chemistry Wood (T. B.) 25. 6d. net
Feb. II"
131,"Agricultural College (Royal) Cirencester-Annual
scientific bulletin. No. 2 for 1910. 8vo., pp. 100,
2s, .(Cirencester), W. H. SMITH, July 11"
132,"Agricultural Holdings Act, 1908, Spencer (A. J.)
.Sep. 11"
133,"Agricultural economics, Large and small holdings,
Levy (H.) Ios. 6d. net..
Apr. 11"
134,"Agricultural statistics. Part 1, for 1910 (post
free) 7d.
WYMAN, Apr. 11"
135,"Agricultural statistics, Part 3 for 1910: Prices
and supplies (post free), 11d. WYMAN, Aug. 11"
136,"Agricultural surveyor and estate agents' hand-
book, Bright (T.) 78. 6d. net..
Sep. 11"
137,"Agriculture and home life, Prosperous, Wateridge,
(F. W.) 25. 6d. net
. Apr. II"
138,"Agriculture and rural economy, Cyclop. of,
Wright (R. P.) Vol. 10, 8s, net. Mar. 11"
139,"Agriculture and soils of Kent, &c., Hall (A. D.)
and Russell (E. J.) 28. 6d....
· July 11"
140,"Agriculture and tariff reform, Green (J. L.)
June 11"
141,"Agriculture and the State : England's foundation
Mills (J. S.) is. net...
. Apr. II"
142,"Agriculture, Board of-Report of the Intelligence
Division for 1909-10, Is. 4d. WYMAN, Feb. II"
143,"Agriculture (Board of)—Report of the Land
Division, 1910 (post free), 4d.
WYMAN, May 11"
144,"Agriculture (Board of)-Report under the
Diseases of animals Acts, &c., for 1910 (post
free) is. 2d...
WYMAN, Aug. II"
145,"Agriculture (Board of)-Report under The Tithe,
Copyhold, and other Acts for 1910 (post free),
6d.
. WYMAN, Aug. II"
146,"Agriculture (Board of)-Weekly list of market
prices. ea. id.
WYMAN, Jan., &c., II"
147,"Agriculture, British year-bk, of, 1910-11, 5s. net
Mar. Ir
75. 6d.
5s, net
net"
148,"43. net
45. net
AGRICULTURE
Agriculture, Drift in, Corner (A.) is. net_May II"
