original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"MacNeil (J. G. Swift)-The Irish Parliament : what it was and what it did. Cr. 8vo. 73 x5, pp. 100, Is, net .CASSELL, Feb. 12",189,199,,MacNeil (J. G. Swift),The Irish Parliament : what it was and what it did.,Cr. 8vo.,"73 x5, pp. 100, Is, net .",CASSELL,Feb. 12,False,1912
"McNeile (A. H.)-Deuteronomy: its place in revelation. Cr. 8vo. 8 X 51, pp. 146, 25. 6d. net LONGMANS, June 12",189,199,,McNeile (A. H.),Deuteronomy: its place in revelation.,Cr. 8vo.,"8 X 51, pp. 146, 25. 6d. net",LONGMANS,June 12,False,1912
"Macpherson (Hector)-Scotland's debt to Pro- testantism. Cr. 8vo. 71 x5, pp. 144, IS. net W. BLACKWOOD, Dec. 12",189,199,,Macpherson (Hector),Scotland's debt to Pro- testantism.,Cr. 8vo.,"71 x5, pp. 144, IS. net",BLACKWOOD,Dec. 12,False,1912
"Mc Quhae's Practical technical instructor. 3rd edit. Cr. 8vo., pp. 184, bds. Is. 6d. R. E. KING, Oct. 12",189,199,,,Mc Quhae's Practical technical instructor. 3rd edit.,Cr. 8vo.,"pp. 184, bds. Is. 6d.",R. E. KING,Oct. 12,False,1912
"Macready (William Charles)-Diaries, 1833-1851. Edit. by William Toynbee, 2 vols. Ryl, 8vo. 98 x6, pp. 528, 550, 325. net CHAPMAN & H., Oct. 12",189,199,,Macready (William Charles),"Diaries, 1833-1851. Edit. by William Toynbee, 2 vols.","Ryl, 8vo.","98 x6, pp. 528, 550, 325. net",CHAPMAN & H.,Oct. 12,False,1912
"Mcs winney (R. F.)- The Law of mines, quarries and minerals. 4th edit. Ryl. 8vo., 425. SWEET & M., May 12",189,199,,Mcs winney (R. F.),"The Law of mines, quarries and minerals. 4th edit.",Ryl. 8vo.,425.,SWEET & M.,May 12,False,1912
"Macvane (Edith)—Tarantella. Cr. 8vo. 8 X5, pp. 262, 6s. HURST & B., Apr. 12",189,199,,Macvane (Edith),Tarantella.,Cr. 8vo.,"8 X5, pp. 262, 6s.",HURST & B.,Apr. 12,False,1912
"MacVannel (J. A.)-Outline of a course in the philosophy of education ; Education 205-206, Philosophy, 181–182. Cr. 8vo., 45. net MACMILLAN, Feb. 12",189,199,,MacVannel (J. A.),"Outline of a course in the philosophy of education ; Education 205-206, Philosophy, 181–182.",Cr. 8vo.,45. net,MACMILLAN,Feb. 12,False,1912
"Macvicar (S. M.)-The Student's handbook of British hepatics. 279 illus., 8vo. 81 X6, pp. 464, 18s. 6d, net WESLEY, Aug. 12",189,199,,Macvicar (S. M.),The Student's handbook of British hepatics.,8vo.,"279 illus., 81 X6, pp. 464, 18s. 6d, net",WESLEY,Aug. 12,False,1912
"McVie (Angus)-Seamen and the National Insur- ance Act. 16mo., swd. 6d. net J. BROWN, Feb. 12",189,199,,McVie (Angus),Seamen and the National Insur- ance Act.,"16mo.,",swd. 6d. net,J. BROWN,Feb. 12,False,1912
"Macy (S. B.)– The Army of God : being the story of the church during the first six centuries, written for children. 4to., 10 X7, pp. 206, 38. 6d. net .LONGMANS, Feb. 12",189,199,,Macy (S. B.),"The Army of God : being the story of the church during the first six centuries, written for children.",4to.,"10 X7, pp. 206, 38. 6d. net .",LONGMANS,Feb. 12,False,1912
"Macy (S. B.)-The Book of the Kingdom : being the Bible story from the birth of Samuel to the death of David. Illus. 4to. 10 X74, pp. 400, 35. 6d. net... ..LONGMANS, Sep. 12",189,199,,Macy (S. B.),The Book of the Kingdom : being the Bible story from the birth of Samuel to the death of David. Illus.,4to.,"10 X74, pp. 400, 35. 6d. net...",LONGMANS,Sep. 12,False,1912
"Mair (W.)-A Digest of laws and decisions, ecclesiastical and civil. 4th edit. Cr. 8vo., 12s. 6d. net..... .W. BLACKWOOD, Apr. 12",190,200,,Mair (W.),"A Digest of laws and decisions, ecclesiastical and civil. 4th edit.",Cr. 8vo.,12s. 6d. net..... .,BLACKWOOD,Apr. 12,False,1912
"Maitland (H.)— The Dash for winter sports. Cr. 8vo. swd. is. net ....J. OUSELEY, Nov. 12",190,200,,Maitland (H.),The Dash for winter sports.,Cr. 8vo.,swd. is. net,J. OUSELEY,Nov. 12,False,1912
