original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"Acts, 1913-Consolidated fund (No. 1), įd.; Beverley charities schemes confirmation, is. 9d.; Haberdashers' Co. loan fund, 3d.; Kirkcaldy District water, 45. 60.; Robinson's Trust scheme, 6d. ; Sheffield Corporation, 5s. 9d. ; Whitby charities scheme, is. WYMAN, Apr. 13",2,10,,,"Acts, 1913-Consolidated fund (No. 1), įd.; Beverley charities schemes confirmation, is. 9d.; Haberdashers' Co. loan fund, 3d.; Kirkcaldy District water, 45. 60.; Robinson's Trust scheme, 6d. ; Sheffield Corporation, 5s. 9d. ; Whitby charities scheme, is.",,,WYMAN,Apr. 13,False,1913
"Acts, 1913-Army (annual), id. ; Prisoners (temporary discharge for ill-health), $d.; Provisional collection of taxes, id.; Edinburgh and E. of Scot. College of Agriculture, 6d. WYMAN, May 13",2,10,,,"Acts, 1913-Army (annual), id. ; Prisoners (temporary discharge for ill-health), $d.; Provisional collection of taxes, id.; Edinburgh and E. of Scot. College of Agriculture, 6d.",,,WYMAN,May 13,False,1913
"Acts. 1913–Consolidated fund (No. 2), įd.; ... WYMAN, July 13",2,10,,,"Acts. 1913–Consolidated fund (No. 2), įd.; ...",,,WYMAN,July 13,False,1913
"Acts, 1913-Ancient monuments consolidation, &c., 2d.; Appellate jurisdiction, d.; Ap- propriation, 3d.; Bankruptcy and deeds of arrangement, 3d. ; Bankruptcy (Scot.), 9/d.; Bishoprics of Sheffield, Chelmsford, and Co. of Suffolk, id. ; Children (employment abroad), id.; Companies, $d.; Crown lands, £d.; Education (Scot.), d.; ditto (Glasgow Electoral Div.), id. ; Expiring laws con- tinuance, id. ; Extension of polling hours, fd.; Fabrics (misdescription), id.; Finance, id. ; Foreign jurisdiction, id.; Forgery, 2ja. WYMAN, Aug. 13",2,10,,,"Acts, 1913-Ancient monuments consolidation, &c., 2d.; Appellate jurisdiction, d.; Ap- propriation, 3d.; Bankruptcy and deeds of arrangement, 3d. ; Bankruptcy (Scot.), 9/d.; Bishoprics of Sheffield, Chelmsford, and Co. of Suffolk, id. ; Children (employment abroad), id.; Companies, $d.; Crown lands, £d.; Education (Scot.), d.; ditto (Glasgow Electoral Div.), id. ; Expiring laws con- tinuance, id. ; Extension of polling hours, fd.; Fabrics (misdescription), id.; Finance, id. ; Foreign jurisdiction, id.; Forgery, 2ja.",,,WYMAN,Aug. 13,False,1913
"Acts, 1913-Government of the Soudan loan, id.; Herring fishery, fd.; Highlands and Islands (medical service) grant, id.; Industrial and provident Societies (amendments), ijd. ;|Inter- mediate education (Ireland), d.; Isle of Man (customs), įd.; Local government (adjust- ments), id. ; Mental deficiency, 4]d. ; Mental deficiency and lunacy (Scot.), 5d.; National insurance, 3d.; Post Office, d.; Public buildings expenses, £d.; Public health, £d. ; Public works loans, id.; Telegraph (money), jd. ; Temperance (Scot.), 2d. WYMAN, Aug. 13",2,10,,,"Acts, 1913-Government of the Soudan loan, id.; Herring fishery, fd.; Highlands and Islands (medical service) grant, id.; Industrial and provident Societies (amendments), ijd. ;|Inter- mediate education (Ireland), d.; Isle of Man (customs), įd.; Local government (adjust- ments), id. ; Mental deficiency, 4]d. ; Mental deficiency and lunacy (Scot.), 5d.; National insurance, 3d.; Post Office, d.; Public buildings expenses, £d.; Public health, £d. ; Public works loans, id.; Telegraph (money), jd. ; Temperance (Scot.), 2d.",,,WYMAN,Aug. 13,False,1913
"Acts, 1913—Caledonian Ry., 25. ; Cleveland and Durham Co. electric power, 6d. ; Colonial and foreign banks guarantee corporation, 3d.; Crowborough District gas and electricity, IS. 6d.; Dundee Corporation, Governesses benevolent institution, 6d. Humber Commercial Ry. and Dock, 9d.; Land drainage (Holme St. Cuthbert), 3d. ; L.G.B. provisional orders (No. 1), is. ; (No. 2), 3d. ; (No. 3), Is. 6d. ; Mynyddislwyn U.D.C., 45. 3d.; Northern Counties Electricity Supply Co., is. 3d.; St. Andrews Burgh extension, 25. 3d. ; Swansea Harbour, 3d. WYMAN, Sep. 13",2,10,,,"Acts, 1913—Caledonian Ry., 25. ; Cleveland and Durham Co. electric power, 6d. ; Colonial and foreign banks guarantee corporation, 3d.; Crowborough District gas and electricity, IS. 6d.; Dundee Corporation, Governesses benevolent institution, 6d. Humber Commercial Ry. and Dock, 9d.; Land drainage (Holme St. Cuthbert), 3d. ; L.G.B. provisional orders (No. 1), is. ; (No. 2), 3d. ; (No. 3), Is. 6d. ; Mynyddislwyn U.D.C., 45. 3d.; Northern Counties Electricity Supply Co., is. 3d.; St. Andrews Burgh extension, 25. 3d. ; Swansea Harbour, 3d.",,,WYMAN,Sep. 13,False,1913
"Acts, 1913-Airdrie Corporation gas, is. 3d. ; Alexandra Park and Palace, 6d. ; Alfriston Chapel charity, 3d. ; Arundell Estate, is. 3d. ; Ascot Authority, Is. 6d.; Barry Ry., 6d. ; Bishop's Waltham water, Is. ; Blyth and Cowpen gas, Is.; Bosden Wesleyan trust property, charity scheme, 3d. ; Burgh_and Parochial Schoolmasters' Widows' Fund (Scotland), 29. 3d. .. WYMAN, Oct. 13",2,10,,,"Acts, 1913-Airdrie Corporation gas, is. 3d. ; Alexandra Park and Palace, 6d. ; Alfriston Chapel charity, 3d. ; Arundell Estate, is. 3d. ; Ascot Authority, Is. 6d.; Barry Ry., 6d. ; Bishop's Waltham water, Is. ; Blyth and Cowpen gas, Is.; Bosden Wesleyan trust property, charity scheme, 3d. ; Burgh_and Parochial Schoolmasters' Widows' Fund (Scotland), 29. 3d. ..",,,WYMAN,Oct. 13,False,1913
"Acts—Public General Acts, 1912–13; with index, tables, &c. 8vo. 35. WYMAN, June 13",2,10,,,"Acts—Public General Acts, 1912–13; with index, tables, &c.",8vo.,35.,WYMAN,June 13,False,1913
"Acts, Index to local and private Acts, 1912-13, .... ..WYMAN, July 13",2,10,,,"Acts, Index to local and private Acts, 1912-13, ....",,..,WYMAN,July 13,False,1913
"Acts, Index to Public General Acts, 1912–13, 5}d. WYMAN, June 13",2,10,,,"Acts, Index to Public General Acts, 1912–13,",,5}d.,WYMAN,June 13,False,1913
"Acts-Howard Estate Act, 25. ud. ; Great Central Railway: Grimsby Fish Dock, Is, Id.; Kent and Bela fisheries, Provisional Order, is. 7d. ; Pier and Harbour orders confirmation, No. 4, 5S. ; Local Government Boards, Pro- visional order, No. 13, 9}d. ; Norfolk Fisheries, Provisional order, confirmation, 9 d.; Pro- visional Order : Marriages confirmation, 31d. (post free) .. WYMAN, Jan, 13",2,10,,,"Acts-Howard Estate Act, 25. ud. ; Great Central Railway: Grimsby Fish Dock, Is, Id.; Kent and Bela fisheries, Provisional Order, is. 7d. ; Pier and Harbour orders confirmation, No. 4, 5S. ; Local Government Boards, Pro- visional order, No. 13, 9}d. ; Norfolk Fisheries, Provisional order, confirmation, 9 d.; Pro- visional Order : Marriages confirmation, 31d.",,(post free),WYMAN,Jan. 13,False,1913
"Acts—Local Government Board's provisional orders confirmation No. 15, 25. rod. ; Water orders confirmation, 1912, 3s. 1od. (post free) WYMAN, Jan. 13",2,10,,,"Acts—Local Government Board's provisional orders confirmation No. 15, 25. rod. ; Water orders confirmation, 1912, 3s. 1od.",,(post free),WYMAN,Jan. 13,False,1913
"Acts—North Killingholme Pier, 25. 31d.; North Killingholme Admiralty Pier, 3}d.; Great Western Railway, 7s. ; Nottingham Mechanics Institution, is. rod. ; Falkirk Burgh Order Confirmation, 3}d.; Fylde Water Board, 55. 2}d. ; Lanark County Tramways, 35. 4d. (post free) . WYMAN, Jan. 13",2,10,,,"Acts—North Killingholme Pier, 25. 31d.; North Killingholme Admiralty Pier, 3}d.; Great Western Railway, 7s. ; Nottingham Mechanics Institution, is. rod. ; Falkirk Burgh Order Confirmation, 3}d.; Fylde Water Board, 55. 2}d. ; Lanark County Tramways, 35. 4d.",,(post free),WYMAN,Jan. 13,False,1913
"Acts, 1912-Belfast water, Is. 6d.; Bognor Gas Light & Coke Co., Is. 3d. ; Dover Corporation, 25. 3d. ; Edgware and Hampstead Ry., 45. 3d. ; Electric lighting order confirmation (No. 4), is. 3d. ; Ericht water and electric power, 2s. ; Gas orders confirmation (No. 1), 45., (No. 2), 38. 6d.; Shipley U.D.C., 25.; Woking District gas, 2s. gd. ; York gas (consol.dation), 2s. 3d. WYMAN, Jan. 13",2,10,,,"Acts, 1912-Belfast water, Is. 6d.; Bognor Gas Light & Coke Co., Is. 3d. ; Dover Corporation, 25. 3d. ; Edgware and Hampstead Ry., 45. 3d. ; Electric lighting order confirmation (No. 4), is. 3d. ; Ericht water and electric power, 2s. ; Gas orders confirmation (No. 1), 45., (No. 2), 38. 6d.; Shipley U.D.C., 25.; Woking District gas, 2s. gd. ; York gas (consol.dation), 2s. 3d.",,,WYMAN,Jan. 13,False,1913
"Acts, 1913-Aerial navigation, fd. ; Agricultural holdings, įd.... .WYMAN, Feb. 13",2,10,,,"Acts, 1913-Aerial navigation, fd. ; Agricultural holdings, įd....",,,WYMAN,Feb. 13,False,1913
"Adam (J.)-Asthma and its radical treatment. Cr. 8vo., 5s. net........ ...H. KIMPTON, July 13",3,11,,Adam (J.),Asthma and its radical treatment.,Cr. 8vo.,5s. net........ ...,KIMPTON,July 13,False,1913
"Adams (C. F.)—'Tis sixty years since : an address. 8vo., 35. 6d. net...... MACMILLAN, Apr. 13",3,11,,Adams (C. F.),'Tis sixty years since : an address.,8vo.,35. 6d. net......,MACMILLAN,Apr. 13,False,1913
"Adams (Josph)—Unconventional Molly. Cr. 8vo. 71 X5, pp. 326, 6s..... METHUEN, Feb. 13",3,11,,Adams (Josph),Unconventional Molly.,Cr. 8vo.,"71 X5, pp. 326, 6s.....",METHUEN,Feb. 13,False,1913
"Adams (W. H.)—The Dominant race. Cr. 8vo. 74 X5, pp. 330, 6s....... SMITH, E., May 13",3,11,,Adams (W. H.),The Dominant race.,Cr. 8vo.,"74 X5, pp. 330, 6s.......","SMITH, E.",May 13,False,1913
"Adams (John)-The Man among the myrtles. Cr. 8vo. 73 x 44, pp. 150, 25. net (Short course ser.) ..T. & T. CLARK, Apr. 13",3,11,,Adams (John),The Man among the myrtles.,Cr. 8vo.,"73 x 44, pp. 150, 25. net (Short course ser.)",T. & T. CLARK,Apr. 13,False,1913
"Acts, 1913-Cambrian Railways, is. 3d. ; Colne Corporation, is. 9d. ; Derby Corporation, 45. 3d. ; Dover Harbour, IS.; Dunferm- line District water, 3S. 6d.; Education Board provisional orders confirmation (Cardigan, &c.), Is. ; ditto (London, No. I), is. 3d.; ditto (London, No. 2), 6d.; ditto (London, No. 3), is.; Electric lighting orders confirmation (No. 1), 28. 6d. ; ditto (No. 2), 28. 6d.; ditto (No. 3), Is. ; ditto (No. 4), 25. 3d.; ditto (No. 5), Is. 3d. ; ditto (No. 6), 3d.; ditto (No. 7), is. ; Gas orders confirmation 3s. 9d.; Gas and water orders confirmation (No. 1), 25. 6d.; ditto (No. 2), 35. 6d.; Great Haywood and Tompkin Congregational Chapels, 6d.; Harrow and Stanmore gas, 25. ; Hatfield (York, West Riding) Calvinistic Chapel, 3d. ; Herne Bay gas and electricity, Is.; Hove Corporation, 25. 9d.; Hulme Trust' Estates scheme, 3d.; Isle of Wight Central Railway (Godshill Transfer), 25. 3d.; Kent electric power, 9d.; Kingswood Chapel scheme, 3d. WYMAN, Oct. 13",3,11,,,"Acts, 1913-Cambrian Railways, is. 3d. ; Colne Corporation, is. 9d. ; Derby Corporation, 45. 3d. ; Dover Harbour, IS.; Dunferm- line District water, 3S. 6d.; Education Board provisional orders confirmation (Cardigan, &c.), Is. ; ditto (London, No. I), is. 3d.; ditto (London, No. 2), 6d.; ditto (London, No. 3), is.; Electric lighting orders confirmation (No. 1), 28. 6d. ; ditto (No. 2), 28. 6d.; ditto (No. 3), Is. ; ditto (No. 4), 25. 3d.; ditto (No. 5), Is. 3d. ; ditto (No. 6), 3d.; ditto (No. 7), is. ; Gas orders confirmation 3s. 9d.; Gas and water orders confirmation (No. 1), 25. 6d.; ditto (No. 2), 35. 6d.; Great Haywood and Tompkin Congregational Chapels, 6d.; Harrow and Stanmore gas, 25. ; Hatfield (York, West Riding) Calvinistic Chapel, 3d. ; Herne Bay gas and electricity, Is.; Hove Corporation, 25. 9d.; Hulme Trust' Estates scheme, 3d.; Isle of Wight Central Railway (Godshill Transfer), 25. 3d.; Kent electric power, 9d.; Kingswood Chapel scheme, 3d.",,,WYMAN,Oct. 13,False,1913
"Acts, 1913–Kirkcaldy and Dysart water, 25.; Lanarkshire (Middle Ward District) water, 25. 9d.; Llantrisant 'gas, 25. ; Local authorities contributions(Crystal Palace), 6d.; Local Govern- ment board's provisional orders confirmation (No. 4), is. 6d.; (No. 5), Is. 6d. ; (No. 6), IS. 3d. ; (No. 7), is. 9d. ; (No. 8), gd.; (No. 9), Is. 6d. ; (No. 10), is. 9d.); No. II), 28. 6d. ; (No. 12), Is. 9d. ; (No. 13), 35. ; (No. 14), 28. 3d.; ((No. 15), Is. 9d.; (No. 16), 6d. ; (No. 17), is. 3d. ; (No. 18), 28. 9d. ; (No. 19), is. 9d. ; (No. 20), 25. ; (No. 22), 3d.; (Gas), IS. ; Local Government Board (Ireland) provisional orders confirmation (No. 1), 6d.; No. 2), 6 d.; London County Council (general powers), 9d.; ditto, (money), 9d. ; ditto (tramways and improvements), Is. ; Man- chester Royal Exchange, 9d. ; Metropolitan District Ry., Is. 6d. ; Midland Ry. (superannua- tion fund), 3d.; Northampton Corporation water, is. 9d.; Oxford University (St. Edmund Hall and Gatcombe Rectory), 6d. ; Padiham Horeb Union Church, gd. ; Pier and harbour orders confirmation (No. I), 38. 6d. ; (No. 2), 33. 3d. ; (No. 3), 4s. ; Pilotage order (London) confirmation, 6d. ; Port Talbot Railway and Docks, 6d.; Porthcawl and District Gas, 25. 6d.; Post Office (London) Railway, 5. ; Preston, Southport, and Gatley Chapels, gd.; Redcar, Goatham, Marske, and Saltburn Gas, Is. 6d.; Ribble Fisheries provisional order con- firmation, is. 6d.; Richmond (Surrey) electricity supply, 6d. ; Roe Street (Macclesfield) Congre- gational Chapel, 6d.; Slough gas, Is. 9d.; South Staffordshire Mond Gas (power and heating) Company, Is.; South Staffordshire waterworks, IS. ; Trade Boards provisional orders confirmation, 6d.; Tramways orders confirmation, is. 9d.; United District gas, 28. 6d.; Watney, Combe, Reid & Co., 3d. ; Wemyss Tramways order confirmation, 3d.; West Hampshire water, ed.; Westgate and Birchington gas and electricity, Is. 9d.; Wibsey (Bradford) Independent Chapel, 6d.; Wimbledon and Sutton Railway, Is. 3d. WYMAN, Oct. 13",3,11,,,,,,,,True,1913
"Acts of the Apostles (The) : for Divinity Modera- tions. Cr. 8vo., pp. 62, swd. 25. 6d. net (Oxford) THORNTON, Oct. 12",3,11,,,Acts of the Apostles (The) : for Divinity Modera- tions.,Cr. 8vo.,"pp. 62, swd. 25. 6d. net (Oxford)",THORNTON,Oct. 12,False,1913
"Adair (Cecil)—Gabriel's garden. Cr. 8vo. 73 X4 pp. 334, 6s. ...S. PAUL, Apr. 13",3,11,,Adair (Cecil),Gabriel's garden.,Cr. 8vo.,"73 X4 pp. 334, 6s. ...",S. PAUL,Apr. 13,False,1913
"Adair (Cecil) Quadrille Court. Cr. 8vo. 71 X4}, pp. 320, 6s. ..S. PAUT., Sep. 13",3,11,,Adair (Cecil),Quadrille Court.,Cr. 8vo.,"71 X4}, pp. 320, 6s.",S. PAUI.,Sep. 13,False,1913
"Adam (Adela M.)— Plato: moral and political ideals. Ryl. 16mo., pp. 168, Is. net; ithr. 25. 6d. net. (Cambridge manuals of science and literature) ... CAMB. UNIV. PRESS, May 13",3,11,,Adam (Adela M.),Plato: moral and political ideals.,Ryl. 16mo.,"pp. 168, Is. net; ithr. 25. 6d. net. (Cambridge manuals of science and literature)",CAMB. UNIV. PR.,May 13,False,1913
