"(Orpington : “ The Maples,” Goddington Lane) J. ABBEY, Jan. '18"
"59. net a Mi 5X6, pp 227, ss . i Batoman (Charles T.) U-boat devilry : illus. trating the heroism and endurance of merchant seamen. Cr. 8vo. 71 x 5, pp. 192, 35. 6d. net HODDER & S., Nov. '18"
"158. net. Cr. Bedford (Herbert)—The Heroines of George Meredith. Illus. Fol. 155. net HOODIR &S, Jan '18"
"bumbas Luc uidu lous, Le Queux (w.) 15. 3u. Feb. '18"
. . . . . . . nt 3s. 6d. •
"55. net a Belloc (Hilaire) --The Free press. Cr. 8vo. 7} X 5, Bentinck (Henry)—Tory democracy. Cr. 8vo. DN. 10., 25. 61. nat...... ALLEN & U., Fcb. '18"
"7X41, pp. 139, 35. 6d. net ..METHUEN, Dec. '18"
"7X54, pp 370, 6s. net .. COLLINS. June '18"
and Bond (J. W.) ..Sep. '18
"ton-Jones (M. E.) 125. 6d. net........May '18 Berger (Marcel and Maude)-The Secret of the Benisty (Mme. Athanassio-) See Athanassio- Marne : how Sergeant Fritsch saved France. Benisły. Cr. 8vo. 71 x 5, pp. 367, 6s, net PUTNAM, June '18"
"od. net .....C. GOODALL & SON, Feb. '18"
"pp. 84, 6d. net C. GOODALL & Son, Dec. '17"
"8vo. pp. 72 WESTMINSTER PR., May '18"
"10 X 6), pp. 32, 45. net KINGSGATE PR., July '18 Bernhardi (Friedrich von, Gen.)-Germany and the next war. Tr. by Allen H. Fowles. 25th Benson (1. C.) ed.-- Cambridge essays on educa. impr. Cr. 8vo. 7*X 5, pp. 288, 55. net tion. Intro. by the Rt. Hon. Viscount Pryce. E. ARNOLD, Aug. '18"
"hemorrhage and the anæmia: . 8vo. 10. nt Benson (E. F.)- Crescent and Iron Cross. Cr. LIPPINCOTT, Apr. '18"
"8vo. 7} 5, pp. 268, ss. net Berriman (Algernon E.)-Acronautics. 81x51, HODDER & S., Jan. '18"
"pp. 24, 3d. NAT. HOME READING UNION, Feb.'18"
"her Slav subjects. Cr. 8vo. 7X 48, pp. 48, IS. net . ALLEN & U., Aug. '18"
"by Geoffrey Watson. 8vo. 81x5, pp. 146, Benson (E. F.)- The White Eagle of Poland. Swd. IS. 6d. net Cr. 8vo. 71 x 5, pp. 265. 65. net ED. J. BURROW ; H. MARSHALL, Feb. '18"
"71 *5), pp. 60, 35. 6d. net MACMILLAN, June '18"
"the relation between hours of work and output; Besant (Annie)-An Autobiography. Illus. 4th with a memorandum on sickness. 8vo. 81 X54, impr. (2nd ed.). 8vo. 8 X54, pp. 368, 6s. net pp. 43, 6d. net .P. S. KING, May '18"
net . May '18
see 425. net
"as id. ; Bigelow (Francis H.)—Historic silver of the Colonies and its makers. Illus. Cr. 8vo. 8}x51, pp. 502, 31s. 6d. net MACMILLAN, Mar. '18"
"id.; as (No. 6): Swansea, 6d. ; Local Govt. (Ireland) Prov. Ora. (No. 2): County Borough of Limerick, id. ; Horse breeding : as ameniled in Ctte., d.; British nationality and status of aliens, id.; Land Drainage (Woolwalton) Prov. Ord., Id. H.M. STATIONERY OFF., May '18"
"78. 6d. Episo bile it, pp. 55, 6.... a IS. . BIO-CHEMISTRY Bio-cliemistry, Prac. organic and, Plimmer(R. H. A.) 18s. net June'18"
.)
nct
"(E. G.) 3s. Bolshevism, From autocrary to, Gracienii: (Baron P.) 5s. net ..Oct. '18"
". Bowen (Marjorie)--Kings-at-Arms. Cr. 8vo. 74 x 5, pp. 319, 6s. net ....METHUEN, May '18"
..Apr. '18
"od 1 Boyle (Andrew) ed.---Brazilian Green book. 7s, 6d. net ......Vol. 18"
6d. 78. net
": Brent (Charles H.)--The Mount of vision : being Brightman (E.)--Vu ketry : its humour. Ihmo. a study of life in terms of the whole. Intro. by pp. 31, 3d.(+8 & 50, New 11gton 1-cway,S.E.I) the Bishop of London. Cr. 8vo. 71 x 5, pp. 142, C. ROBINSON & Co., Feb. '18"
"3s. net .LONGMANS, Jan. '18 Briquetting, HIdbk. of, Franke (G.) 155. net Brereton (F. S , Capt.)---Under Foch's command : May 'is a tale of the Americans in France Cr 8vo. Briscoe (Walter A.) and Stannard (H. Russell) -- 7} X 5, 4s. 6d. net BLACKJE, Nov. '18"
"36, 6d. net .CHATTO & W., Aug. '18 Bristol Royal Infirmary, History of the, Smith Brett (Jerse, Rev.)--The Crus : studies in the (G, M.) 125, 6d. net.... Dec. '17"
"pp. 77, 39. Od. net ....E. MACDONALD, Dec. '18"
"complete rhyming dictionary. New and revised Britain, Rebuilding, Hopkinson (Sir A.) 5s. net ed. 8vo. 8x5, pp. 391, 65...GRANT, Sep. '18"
"development: a manual of reference for auto- Britain, Social luc in, ir, Conquest to Rcaurma. tun, Coulion (G. G.) 155. nit mobile engineers and owners. 2nd ed., rev. · Jan. '18"
"and enl. 85 x 54, pp. 308, 128. 6d. net Britain, Story of the people of. Bk. 1, 55 B.C.- LOCKWOOD, July '18"
"1485 A.D., Sarson (M.) 28. Bk. 2, 1485-1688, Bre wers' almanack and wine and spirit trade Sarson (M.) 28. 3d. Bk. 3, 1689-1815, Hanson manual, 1918. 91.X64, pp. 238, 5s. net (L.) 2s. 6d. Bk. 4, 1815-1914, Hanson (L.) (Brewers' Soc.) REVIEW PR., Apr. '18"
25. od... ... June '18
"commercial potentialities. Cr. 8vo. 74 X5, pp. 316, 6s. net........HODDER & S., Dec. '18"
net .....Nov. '18
"war. 8vo. 84 X5pp. 421, 16s. net British Dominions beyond the Sea, Weston (W. J.) CONSTARLE, July '18"
"under Brit, rule, by H. E. Egerton. 55. July '18"
in 29.
"1. British Doniinions year bock, 1918. Ed. by Elwar] Salmın anat Tam : Wir for 81x<Á, pp. 320, gratis (postage 6d.) Royal Exchange Ave., E.C. 3) E.G.E, STMR, AND ERITISH DOMINIONS INSURANCE 10. Mar. '18"
"• British Woman""-Counlry of no woman s land. Is, net June'18"
55. net 3s. net
an ur. OVO. war
"315. od. net : 45. net as a,"
": Buildings for public worship, Murray (A. S.) 8d. Aug '18"
"net “C.""-Guide to Amer. income tax. 28. 6d. Feb. '18"
home
". . Cache maills (E. P., Rev.)-The Prophetic outlook to-day: where are we now in prophecy? essays on Second Advent subjects. Čr. 8vo. 71 x 5, pp. 172, 35. net.... .MORGAN & S., Apr. ’8 Cachemaille (E. P., Rev.)-The Seventy Weeks and the Messiah. Cr. 8vo. 7 x 47, pp. 45, gd. net (Aids to prophetic study) (Prophecy Invest. Soc.) TAYNNE, Jan. '18"
"ghton (Arthur)-Recitations grave and gay. 8vo. pp. 51, Is. 3d. net. . REYNOLDS, Aug. '18"
"callow (C., Rev.).–Thu Hằman prerogative. 7 X41, pp. 31, is. net ...STOCKWELL, June'18"
exam. : )
"3s. net Cameron (Allan T.)—The Religious communities of the Church of England. 9X54, pp. 223, 75. 6d. net...... ..FAITH PR., June '18"
"(Canadian] Battalion, Thirteenth, Story of the, 1914-1917, Martin (S.) 6d. net .Oct.'18"
"(Canadian] Battalion, Twenty-eighth (North- West), Story of the, 1914-1917, Hewitt (G. E.) 6d. net Oct. '18"
"ed., enl. : 9d. net"
": 205. . Canterbury, Convocation of Summary of the Acts of the Upper and Lower Houses, in the Sessions of 1912, 1913, 1914. 81 X54, pp. 44, 24, 20, ea. respectively 6d. net, 30. net, 3d. net S.P.C.K., Apr. '18"
"> 69. net.... Charities : Art of money collecting, Keay (A. B.) 38, 6d. net · June '18"
"on : Cheesman (Lilian)- Big Peter's Little Peter. Illus. by the Author. Ryl. 8vo. 94x7}, pp. III, 73, 6d. net · JARROLDS, Dec. '18"
"· Jan. 'I Chemistry of essential oils, &c., Parry (E. J.) Vol. 1. 255. net .May '18"
428. net
".... Christianity, Earliest developments of, Influence of Judaism of Greek period on : Preparing the way, Strealjeild (F.) 5s. net Oct. '18"
net
"28. Claire (Roma) comp.-Modern American verse. Claudy (C. H.)-Partners of the forest trail. Cr. 8vo. 7 X5, pp. 205, 6s. net Illus, by Chase Emerson and Florence Anderson. WESTALL, Dec. '18 Cr. 8vo. 73 x 53, pp. 270, 5s. net Clare (Frank Conquest)-The English Prayer- HARRAP, Nov. '18"
"discoveries. 81 x 54, pp. 277, ss. net Clare (Frank Conquest)-Vision and repentance : HARRAP, Oct. '18"
"pp. 116, 35. 6 d. net ..LAXE, May'is Claymore, Smith (A. D. H.) 6s, net...... July '18"
"pocket-book of tables, formulae, rules and data. Toth ed., rev. and enl., by H. H. P. Pcwles. Clayton (Ralph, Rev.)-The Bible and the dead : 18mo. 61x31, pp. 768, 6s. net a study of the sure foundation of our faith. LOCKWOOD, Jan. '18"
"75 X 5, pp. 139, 2s, 6d. net FAITH PR., Nov. '18"
(F. J.) 5s. net.. .Feb. '18
"78. 6d. net Clematis, Cobb (B. B. and E.) 6s. net.. Dec. '18"
"...DENT, July '18"
"pilation. By Eupolis, jr."" 18mo. 61 X4, Clarke (Basil)—My round of the War. pp. 64, swd. is. net .DANIEL, Sep. '18"
"and refraction of the eye. 4th ed. 8vo. pp. 249, Clergy, Training of the, in Oxford : sermon, 6s, net .BAILLIERE, Oct. '18 Watson (E. W.) is. net. ....Dec. '17"
ing. 13. net ..Jan. '18
"(E. W.) ós, net .Apr. '18"
"28. od. net . MURRAY, Aug. '18"
.Sep. '18
58. net Aug. '18
". . . . . . (6 38. 6d. own. Close (Evelyne)--The Tide at night. Cr. 8vo. 78 * 5, pp. 68, 25. 6d. net E. MACDONALD, Oct. '18"
> . . . . . .
"net 15s. net Coghlan (Philip)--The Parables of Jesus. 61 x 41, pp. 234 23. 6d. net ....WASHBOURNE, Oct. '18"
/C 4s. net an
"id. H.M. STATIONERY OFF., Jan. '18"
o IS. 6d. • • • • • •
"(Mrs. E.) gd. net Contract, Law of war and, Campbell (H.) 155. net Aug. '18"
net ..Nov. '18
28. 6d. net ..Jan. '18
(Maw) 255. net. .Apr. '18
"6d. ... Dec. '17 Cookery : Pudding bk., Byron (M.) 45. net July '18"
"18mo. 9d. HUTCHINSON, Aug. '18"
"8vo. pp. 24, swd. 6d. net..R. BANKS, Oct. '18"
"box: how to make and use it, together with Cooling apparatus, Fuel economy in, Barker(A.H.) 8c economical recipes adapted for fircless IS. 6d. net .Oct, '18"
"cookery. Cr. 8vo. 7x44, pp. 91, swd. is. 6d. Cooking box: how to make and use it, Cooke net NATIONAL SOCIETY'S DEPOSITORY, Jan. '18"
(C. C. R.) is. 6d. net · Jan. '18
"pp. 258, 25. 3d. net (Cambridge Bible for schools Cooking recipes, Soldier's simple, Noel (Maj. and and colleges)......CAMB. UNIV. PR., Alar. :$ Mrs. J.) 6d. net. .Aug. '18"
"talks) . MILFORD, Jan. '18"
"enl. Bk. 1. Cr. 8vo. 71 x 5, pp. 80, 28. net STOCK, Mar. ':8 Cooper (Alfred J.)-Solectrics : a theory explain- Cookery book, Byron (M.) 4s, net Aug. '18"
"ing the causes of tempests, seismic and volcanic Cookery book, Wilkinson (Mrs.) is. 6d. net disturbances, and other natural phenomena. Oct. '18"
"net Cookery book, Gardale is. 3d. net ..JENKINS, Apr.'18"
....Sep.'18
"28. 6d. net July '16 Cooper (James, Very Rev.)—Reunion : a voice Cookery : Daily Mail” War recipes, Peel from Scotland. Cr. 8vo. 74 x 5, pp. 128, 3s. net (Mrs. C. S.) is. 60. net ..Oci. '18"
a
: . Sep. '18
"58. net Counter-attack, poems, Sassoon (S.) 25. 6d. net July '18"
: “ Exact
"a romance Craig (A. F.)-A Merry multiplication table. Illus. by Mary H. A. McI,ardie. 71x11, Is. 6d. net...... ... MENZIES, Dec. '17"
"cra wford (F. Marion)--Zoroaster. 8vo. pp. 319, IS. 6d. net ..NELSON, Aug. '18"
"[Croppor (L. Cuthbert)]-Key to “ Book-keeping and accounts."" 8vo. 84x51, pp. 736, 255: MACDONALD & E., Oct. '18"
"men, a Crosfield (Sir Arthur H.) - Brave words for brave Collated by A. H. C. 32mo. 4*X2}, pp. 80, swd. 6d. (41, West Hill, Highgate, N. 6) AUTHOR, Apr.'iº Cross (C. F.) and others--Cellulose : an outline of the chemistry of the structural elements of plants, w. ref. to their natural history and in- dustrial uses. New impr., w. supplement. Cr. 8vo. 78 x 5), pp. 367, 14s. net LONGMANS, Apr. '18"
. . . . . .
"78. net Curtiss (Harriette A. and Frank H.)-The Philo- sophy of war. 2nd enl. ed. 16mo. pp. 116, 28. 6d. net ...FOWLER, Sep.'18"
"* Daily Telegraph"" Peace Conference maps, Gross (A.) Nos. 1-6, ea. Is. 6d... .Dec. '18"
« ......Nov. '18
"id. Vol. I, Daniels (F.) ed.--French scientific reader. With intro., notes, and vocah. 13 pl. Cr. 8vo. 7£ x 5, pp. 764, 1os. 6d. net (Oxford French set. by American scholars) ..MILFORD, Jan. '18"
"enl. Cr. 8vo. 7X4}, pp. 142, swd. is. net Deafness, War otitis and war, Bourgeois (H.) and G. BELL, Oct. '18 Sourdille (M.) os. net... Mar. '18"
"the play extraordinary. Cr. 8vo. pp. 93, 28. net FRENCH, Oct.'18"
"....MILFORD, Apr. '18"
"8vo. 71 x 5, pp. 319, 78. net....LONG, Oct. '18"
"140, Is. 6d. net. .....S.P.C.K., Dec. '17"
"in dearmer (Mabu) (nrs. Peroy. Dearmer) The Dawn patrol, Bewsher (P.) is. net ...... Dec. '17"
"(F. M. M.) 6s, net.. .Dec. '17"
"8vo. 7* X5, pp. 304, 6s. net HEINEMANN, June '18"
"(England and Wales) — Return, 1917. 2d. H.M. STATIONERY OFF., Aug. '18"
"its anomalies, its diseases and their treatment. Day (Susanne R.)-Round about Bar-le-Duc. Ryl. 8vo. 4os. net ...... .HEINEMANN, July' '13"
"Čr. 8vo. 71 x 5, pp. 256, 6s, net De banville (T.) see Banville (1. de; SKEFFINGTON, Aug. '18"
"panjonage, 1918. Ed. by Arthur G. M. Hesil. Dead, Bible and the, Clayton (R.) 29. 6d. net rige. Library ed. Ryl. 8vo. 10 X 61, pp. 1,772, Nov.'18"
".DEAN, Jan, '18"
"58. get.. ccm 259, net"
"(4 > DEBRETT'S Deorett's Perage, baronctage, knightage and companionago 1918. Ed. by Arthur G. N. Hesilrige. Library ed. Ryl. 8vo. 10 X 67, pp. 2,800, 455, net .DEAN, Jan, '18"
"emocracy and the War, Coar (J. F.) 6$. :lct Apr, 's Democracy and war, Molesu'orth (Sir G.) is, 60 net .Nov. '18"
15s. net
"2d. Denison (H. P., Prebc11: lary)-- The Ladder of vision : choice thoughts selected from the writings of Prebendary H. P. Denison. Ar- ranged for daily readings by D. L. Maguire. Fcap. 8vo. 64 x 41, pp. 85, 2s. net R. SCOTT, Mar. '18"
".H.M. STATIONERY OFF., Dec.'17"
28.
"net Din woodio (James, Rev.)-The Starting place of Bible tudy. Ĉr. 8vo. 77 x 5, pp. 96, 25. 6d. net ..MARSHALL BROS., Dec. '18"
"· Disruption Minister ""-Our banner and its battles. 6d. net ..July '18"
". Divine liturgy of the presanctified, Gregory (St.) 45. 6d. net May '18"
")) 5s. net. Dostoevsky (Fyodcr).-White nights and other stories. Tr. by Constance Garnett. Cr. 8vo. 7* X 5, pp. 293, 4s. 6d. net HEINEMANN, Oci.'18"
"a Doyle (Sir Arthur Conan)-The New revelation. Cr. 8vo. 71 X 5, pp. 170, 35. 6d. net HODDER & S., May '18"
"6:3 8vo. pp Dream of Gerontius, Newman (John H., Cardinal) 6d. ..Sep. '18"
"78. 6d, net"
"55. net . Duncan (Joseph, Rev. Canon)-Popular hymns, their authors and teaching. 5th ed. Cr. 8vo. 73 X 5, pp. 336, 58. net . SKEFFINGTON, Aug.'18"
"3s. net Durell (J. C. V., Rev.)-Whizzbangs and wood. bines : tales of work and play on the Western Front. Cr. 8vo. 74 x 5, pp. 197, 38. 6d. HODDER & S., Nov. '18"
": E. (A.) See"" A. E."" E. (J.)--As the days go by. IS. 3d. net.. July '18"
") 332, 6s."
"• . . . . . . Edgar (Morton)-Mythology and the Bible. 3rd ed. 32mo. pp. 47, 7d. ; swd. 2ļd. (Glasgow) MORTON EDGAR, June'18"
". Education (Bd. of)-Teaching of French in London secondary schools : Report of enquiry, during 1916. 1}d. H.M. STATIONERY OFF., Mar. '18"
6s. net... *
: IS. Jan. '18
(J.) and Jamieson (A.) 78. 6d. net.... Apr. '18
28.
"luglish : Dictionary, Handy school, Slorironth's. IS. 3d. net Mar. '18"
". English : Oratory, British and Irish: the great age, Locker-Lampson (G.) 128. 6d. net. .Oct. '18"
"-esques, Geach (E. F. A.) avd Wallace (D. E. A.) 28. net ..June'is Essays, Ker (W. P.) Two. Is. 6d. net .. Jan. '18"
"38. net ""The )"
"5S. net. 12. an Ethics, Some suggestions in, Bosanquet (B.) 6s. net Mar. '18"
"levenings at Sackville Coilege, &c., Neale (J. M.) 25. 6d. net . Mar. '18"
th “ J. E.”
5S net
". Fahrenwald (A. W.)—Testing for the flotation process. Cr. 8vo. 78. net CHAPMAN & H., Mar '18"
1) 3s. 6d.
") a Farming, Productive, Davis (K. C.) 45. 6d. net Mar. '18"
. . . . 3s. net Jun. '18
"78. 6d. Fibroids and allied tumours, Lockyer (C.) 635. net Apr. '18"
"* Figgis of Brighton,"" Westbury-Jones (J.) 6s. net Jan. '18"
"l'ignt; for the flag, Fitchett (W. H.) 25. net diar. '18"
58. net .
": Firth (C. H.)—Then and now; or, A Comparison between the war with Napoleon and the present war. (Creighton Lecture, 1917.) 8} x 51, pp. 30, IS. .MACMILLAN, Dec. '17"
: 39. 6d. net . )
"net. a Flesh, Spirit, soul and : usage in Greek writings, &c., to 225 A.D. and equivalents in Hebrew Old Testament, Burton (E. de W.) gs. net..Od. '18"
". . : who"""
"35. 6d. an 24s. net iš address. 74% 48, pp. 16, 3d. net Food (Ministry of)-Food (Supply and production) Forbes (F. A.)-St. Hugh of Lincoln. 7x44, pp. manual. ist enl. ed., rev. to Oct. 21, 1917. 125, is. 3d. net (Standard bearers of the Falth) H.M. STATIONERY OFF., Mar. '18"
"as to food supply legislation, Appendix (Epi- Forbes (Hon. Mrs. Walter)—His alien enemy. tome of provisions as to food control cttes., Cr. 8vo. 7} X 5, pp. 320, 6s, net and their powers as to enforcement of, and J. MURRAY, Aug. '18"
"prosecuting under, Orders), and index. Rev. Forbidden way, Gibbs (G.) is. 9d.......Oct. '18"
"to Jan. 31, 1918. H.M. STATIONERY OFF., Apr. '18"
"and Ernest E. Irons. 3rd. ed. 5 vols. and Food producing garden, Day (H. A.) 25. net supp. 170s. net .APPLETON, Feb. '18"
"net .HEINEMANN, May '18"
.Dec. '18
"77 x 41, pp. 268, 6s. net HODDER & S., Nov. '18 Foreign policy, President Wilson's : messages, Footnor (Hulbert)—The Huntress. Illus. by H. addresses, &c., Aug., 1913-Apr., 1918, Wilson M. Brock. Cr. 8vo. 71 x 5, pp. 303, 6s. net (W.) 155. net ..Sep. '18"
"net .S.P.C.K., Jan. '18"
"al Forsyth (A. R.)--Theory of functions of a complex - variable. 3rd ed. 125 text fig. La. ryl. 8vo. 10) X7pp. 880, 30s. net. CAMB. UNIV. PR., Mar. '18"
5s. net Murray
"2. 28, net Foyen "" picture book, Levey (S.) is. ..Nov. '18"
verse.
"48. 6d. 2. French conversation guide, English., British- American Allied soldiers', D: pont (H. P.) is. net Nov. '18"
net ...
": "" Gardale "" Cookery book of proven recipes. 4th Gardner (Percy)-Evolution in Christian ethics. ed. 8vo. 81 x 54, pp. 128, swd. is. 3d. net Cr. 8vo. 71 x 5, pp. 288, 6s. net. G. TOULMIN, Sep. '18"
"(Crown "" Gardale"" Recipes for war-time dinners. 57 x 41, theological lib.) .WILLIAMS & N., Oct '18"
"pp. 32, Swd, 2d. net .G. TOULMIN, Sep. '18"
"(Clarendon Pr.) MILFORD, Feb. '18"
"1892-22 August, 1917. 78 x 5, pp. 64, Is. 6d. Garden cities : Nothing gained by overcrowding, net .CHISWICK PR., Oct. '18"
.Feb. '18
"8vo. 71 X 5, pp. 291, 5s, net ..UNWIN, May '18"
"7! X5, pp. 299, 6s. net .. HODDER & S., Dec. '18"
"holder, Theobald (F. V.) is. 6d. net .. June '18"
"pp. 254, is. NEWNES, May '18"
. May '18
"sharing of the Cross. Cr. 8vo. 77 x 4t, pp. 106, Gaselee (Stephen)-Year's work in classical swd. 2s, net .MACMILLAN, Nov. '13 studies, 1917. 28. 6d. net . Aug. '18"
"71 X 5, pp. 78, 25. 6d. net ..S.P.C.K., Oct. '18"
....Oct. '18
.. 39. 6d. 55. net 58. net
...Dec. '18
4s. net >
"13 hely Glua (M.) and Giua-Lollini (C.)–Chemical com- bination among metals. Tr. by G. W. Robin- son. 8vo.pp. 355,215, net CHURCHILL, July'18"
"nconner (Pamela) -The Sayings of the chil- dren. Written down by their mother. 8vo. 74 x 5), pp. 147, 6, net BLACKWELL, Nov. '18"
.... Apr '18
"60. 3s. net God, nature and human freedom, Hibbert (G. K.) 2d. . Jan. '18"
. (6
"shot gun. Goodspeed (F. J.)-The Gospel of John: an out- line Bible-study course of the American Insti- tute of Sacred Literature. 12mo. 71 x 51, pp. 50, 2s, net CAMB. UNIV. PR., Dec. '17"
"a Governance of England, Low (S.) 8s. 6d. net Nov. '18"
98. net
"4s, net Gray (James M.)-A Picture of the Resurrection : an exposition of the fifteenth chapter of First Corinthians. Cr. 8vo. 74 x 4, pp. 43, 2s. net REVELL, A pr. '18"
a corres- '18
": 9) H. Guilds, Meaning of national, Reckitt (M. B.) and Bechhofer (C. E.) 78. 6d. net. ..Aug. '18"
"(Priv. printed.) (3-4, New St., Bishopsgate, E.C. 2) AUTHOR, May '18"
• • • • • • • • 9s. net a H. (A.)-Sins of religious people. 25. 6d. net Jan. '18
"on Habershon (Ada R.)-Israel's exodus : past and future. 71X5, pp. 24, 3d. net HOLNESS, Dec. '17"
"net .... Handicrafts for the handicapped. Cr. 8vo. 74 X 51, pp. 173, 75. 6d. net ..K. PAUL, Dec. '18"
"320, 6s. net Halsham (John)--Idlchurst: a journal kept in the country. Cheaper ed. Cr. 8vo. 7* * 5, pp. 273, 28. 6d. net ..J. MURRAY, Oct. '18"
"155. net Harding (William Henry)-The Fearless Prime Minister : Daniel. Cr. Svo. 71 x 5, pp. 129, 38. 6d. net .... OLIPHANTS, Dec. '18"
:
155. net
"5s. net . . . . . . . Hayıs (Nancy M.)—The Doings of Dinky Dandy. Pictures by Harry Rountree. 61 x 5, pp. 72, IS. net .CASSELL, Dec. '17"
"* He being dead yet speaketh,” Smith (H. M.) IS. net ....Aug. '18"
&
"a Herbertson (A. J.) and Thompson (R. L.)--The Junior geography. 8th ed., rev. by O. J. R. Howarth. Maps and diag Cr. 8vo. 73 X5, pp. 288, 29. 60. (Oxford geographies) (Clarendon Pr.) MILFORD, May '18"
ance. i on. 6d.
....Dec. '18
.Aug. '18
8vo. 75. 6s. net.... Apr. '18
"55. net pp. 64, Priv. pr...: across Holland (Henry Scott)-Creeds and critics : being occasional papers on the theology of the Christian creed. Ed., w. foreword, by Chris- topher Cheshire. Cr. 8vo. 7! X5, pp. 258, MOWBRAY, Oct. '18"
") Hooper (Edwyn B.)—Daniel and tlie Maccabees. 77 x 44, pp. 124, 28. net ......DANIEL, Jan. '18"
a
. . . .Aug. '18
"or, The . Howarth (O. J. R,) ed.—The World and Austra- lasia. Adapted for use in Australasian schools by 0. J. R. H. from the “ Junior geography and other geographies by A. J. Herbertson and others. With spec. sect. on Australasia by 0. J. R. H. and Griffith Taylor. 2nd ed. Pi. and text figs. Cr. 8vo. 71 *5), pp. 436, 45. (Oxford geographies) (Clarendon Pr.) MILFORD, May'18"
158. net 58. net
"100 best investments (The): July 1918. With special article entitled Investment under existing conditions,"" by E. Davies. 8vo. IS. net BRIT., FOREIGN & COLONIAL CORP., July '18"
"100 best investments (The). Quarterly supp., Jan., Apr., Oct., 1918. 8vo. 81x51, pp. 53, 61, 63, swd. ea. 3d. net BRITISH, FOREIGN & COLONIAL CORP., Jan.-Aov.'18"
"& 48. Det . Hunter (John A.)—Alcohol and life : a manual of scientific temperance teaching for schools. In 3 pts. Pt. 1, Alcohol and the living cell; Pt. 2, The Effects of alcohol on body and brain ; Pt. 3, The Effects of alcohol on the individual, the family and the State. Cr. 8vo. 71 x 41, pp. 31, 62 and 86, ea. swd. 4d. MACMILLAN, Nov. '18"
三 ​and back ដី ។ 3s. net Creat act '18
"7d. net ure Jual er nd Hutton (John A.)-Our only safeguard. Cr. 8vo. Ian Dall""-Songs of the twilight, &c. 28. net EG6 7}x5, pp. 301, 6s, net .. HODDER & S., Dec. '18"
"poems. Cr. 8vo. pp. 50, swd. 38. net Il year BLACKWELL, Aug. '18 Ice cream year book (The). Ed. by A. Pompa. Huxloy (Leonard)-Life and letters of Sir Joseph 64X47, pp. 40, 9d. Dalton Hooker, O.M., G.C.S.I. Based on (168, Lambeth Walk, S.E. 11) A. POMPA, Oct. '18"
