original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"Acts—Local and private. Bedwellty U.D.C., is. 9d.; Birmingham Corporation, 9d.; do., Tramways, is.; Bournemouth gas and water, 28. gd. ; Dover gas, 9d. ; East Ham Corpora- tion, 6d. ; Falmouth docks, 25. 60.; Fylde Water Bd., 9d.; Hartlepool Corporation, IS. 9d.; Leeds Corporation, 45.; Leicester Corporation, gd.; Llanelly R.D., IS.; L.C.C. general, is. ; Londonderry port and harbour, 9d.; Medway Conservancy, is. 3d. ; Middles- brough Corporation, 4s. 9d. ; Newcastle-upon- Tyne Corporation (rates), is. ; Nuneaton Corporation, 35. ; Sheffield Corporation, 35. ; Sheringham gas and water, is. gd; Shoreham- by-Sea U.D.C., 25. 6d. ; Stocksbridge gas, 25. 6d. ; Stockton-on-Tees Corporation, 4s. 3d. ; Tynemouth Corporation, 4s. 6d.; Waterford harbour, 28. 3d. ; West Hartlepool Corporation, 35. ; Workington Corporation, 9d. (all net) H.M.S.O., Nov. '19",2,10,,,"Acts—Local and private. Bedwellty U.D.C., is. 9d.; Birmingham Corporation, 9d.; do., Tramways, is.; Bournemouth gas and water, 28. gd. ; Dover gas, 9d. ; East Ham Corpora- tion, 6d. ; Falmouth docks, 25. 60.; Fylde Water Bd., 9d.; Hartlepool Corporation, IS. 9d.; Leeds Corporation, 45.; Leicester Corporation, gd.; Llanelly R.D., IS.; L.C.C. general, is. ; Londonderry port and harbour, 9d.; Medway Conservancy, is. 3d. ; Middles- brough Corporation, 4s. 9d. ; Newcastle-upon- Tyne Corporation (rates), is. ; Nuneaton Corporation, 35. ; Sheffield Corporation, 35. ; Sheringham gas and water, is. gd; Shoreham- by-Sea U.D.C., 25. 6d. ; Stocksbridge gas, 25. 6d. ; Stockton-on-Tees Corporation, 4s. 3d. ; Tynemouth Corporation, 4s. 6d.; Waterford harbour, 28. 3d. ; West Hartlepool Corporation, 35. ; Workington Corporation, 9d.",,(all net),H.M. STATIONERY OFF.,Nov. 19,False,1920
"Acts -Aliens restriction (amend), 2d. ; Appropria- tion, 6d. ; Church of England Assembly (powers), id. ; County Courts, 2d. ; Electricity (supply), 4d.; Ferries (acquisition by local authorities), id.; Government of India, 6d. ; Housing (additional powers), 2d. ; Increase of rent, &c. (amend.), id.; Irish railways (con- firmation of agreement), Id.; Land settlement (Scotland), 3d. ; Ministry of Agriculture and Fisheries, 2d. ; National Insurance (unemploy- ment), id.; Nurses' registration, 2d. ; do., (Ireland), 2d.; do. (Scotland), 2d. ; Old age pensions, id; Patents and designs, 3d. ; Profiteering (continuance), Public libraries, id.; Regimental debts (deposit of wills) (Scotland), id.; Trade marks, 2d.; Union of benefices, 2d. (all net) H.M.S.O., Jan. '20",2,10,,,"Acts -Aliens restriction (amend), 2d. ; Appropria- tion, 6d. ; Church of England Assembly (powers), id. ; County Courts, 2d. ; Electricity (supply), 4d.; Ferries (acquisition by local authorities), id.; Government of India, 6d. ; Housing (additional powers), 2d. ; Increase of rent, &c. (amend.), id.; Irish railways (con- firmation of agreement), Id.; Land settlement (Scotland), 3d. ; Ministry of Agriculture and Fisheries, 2d. ; National Insurance (unemploy- ment), id.; Nurses' registration, 2d. ; do., (Ireland), 2d.; do. (Scotland), 2d. ; Old age pensions, id; Patents and designs, 3d. ; Profiteering (continuance), Public libraries, id.; Regimental debts (deposit of wills) (Scotland), id.; Trade marks, 2d.; Union of benefices, 2d.",,(all net),H.M. STATIONERY OFF.,Jan. 20,False,1920
"Acts--Local and private : Ammanford gas, is. 3d. net; Arbroath Harbour order, 3s. 6d. net ; Edinburgh Corp. order, 6d. net ; Fraserburgh harbour (new works) order, 9d. net ; Granton harbour order, 3d. net ; Police and Fire Brigade pension funds (City of Cardiff), 3d. net ; Scottish Amicable Life Assurance Soc.'s order, 6d. net; Stretford U.D.C., 58. net ; West Hampshire water order, 3d. net; Wick Harbour order, 9d. net....H.M.S.O., Jan. '20",2,10,,,"Acts--Local and private : Ammanford gas, is. 3d. net; Arbroath Harbour order, 3s. 6d. net ; Edinburgh Corp. order, 6d. net ; Fraserburgh harbour (new works) order, 9d. net ; Granton harbour order, 3d. net ; Police and Fire Brigade pension funds (City of Cardiff), 3d. net ; Scottish Amicable Life Assurance Soc.'s order, 6d. net; Stretford U.D.C., 58. net ; West Hampshire water order, 3d. net; Wick Harbour order, 9d. net....",,,H.M. STATIONERY OFF.,Jan. 20,False,1920
"Acts.-Local and private. Glasgow water order confirm., 25. 3d. net ; Greenock improvement order confirin., 25. net; Military Knights of Windsor, 3d. net; Ministry of Health pro- visional orders confirm. (No. 1), 3d. net ; Swinton and Mexborough Gas Board, is. net H.M.S.O., Feb. '20",2,10,,,"Acts.-Local and private. Glasgow water order confirm., 25. 3d. net ; Greenock improvement order confirin., 25. net; Military Knights of Windsor, 3d. net; Ministry of Health pro- visional orders confirm. (No. 1), 3d. net ; Swinton and Mexborough Gas Board, is. net",,,H.M. STATIONERY OFF.,Feb. 20,False,1920
"Acts.- Local and private : Cannock U.D.C., IS. 9d. net; Gosport and Alverstoke U.D.C., 45. 6d. net; Manchester Corporation, 155. 6d. net; St. Just (Falmouth) ocean wharves and railways, 3s. 9d. net; Shropshire, Worcester- shire and Staffordshire electric power, 9d, net ; Walsall Corporation, is. gd. net H.M.S.O., Mar. '20",2,10,,,"Acts.- Local and private : Cannock U.D.C., IS. 9d. net; Gosport and Alverstoke U.D.C., 45. 6d. net; Manchester Corporation, 155. 6d. net; St. Just (Falmouth) ocean wharves and railways, 3s. 9d. net; Shropshire, Worcester- shire and Staffordshire electric power, 9d, net ; Walsall Corporation, is. gd. net",,,H.M. STATIONERY OFF.,Mar. 20,False,1920
"Acts.-Coal mines (emergency), 2d.; Coinage, id. ; Consolidated fund (No. 1), 1920, id. ; Merchant shipping (amend.), id.; War emergency laws (continuance), 2d. net H.M.S.O., Apr. '20",2,10,,,"Acts.-Coal mines (emergency), 2d.; Coinage, id. ; Consolidated fund (No. 1), 1920, id. ; Merchant shipping (amend.), id.; War emergency laws (continuance), 2d. net",,,H.M. STATIONERY OFF.,Apr. 20,False,1920
"Acts.-Army and Air Force (annual), 2d. ; Trea- ties of Peace (Austria and Bulgaria), id. net H.M.S.O., May'20",2,10,,,"Acts.-Army and Air Force (annual), 2d. ; Trea- ties of Peace (Austria and Bulgaria), id. net",,,H.M. STATIONERY OFF.,May 20,False,1920
"Acts.-Ejection (suspensory provisions)(Scotland), id.; House-letting and rating (Scotland), id.; National Health Insurance, 3d. ; Profiteering (amendment), id. ; Public utility (capital issues), id. ; Savings banks, 2d. ; Tramways (temporary increase of charges), id. (All net.) H.M.S.O., June 20",2,10,,,"Acts.-Ejection (suspensory provisions)(Scotland), id.; House-letting and rating (Scotland), id.; National Health Insurance, 3d. ; Profiteering (amendment), id. ; Public utility (capital issues), id. ; Savings banks, 2d. ; Tramways (temporary increase of charges), id.",,(All net.),H.M. STATIONERY OFF.,June 20,False,1920
"Acts.-Imperial War Museum, id.; Increase of rent and mortgage interest (restrictions), 4d. ; Representation of the people (No. 2), id. net H.M.S.O., July '20",2,10,,,"Acts.-Imperial War Museum, id.; Increase of rent and mortgage interest (restrictions), 4d. ; Representation of the people (No. 2), id. net",,,H.M. STATIONERY OFF.,July 20,False,1920
"Acts.-Local and private : Abertillery and District Water Bd., 6d. ; City of Dublin Steam Packet Co., 6d. ; Colonial and Foreign Banks Guarantee Corporation (transfer to Alliance Assurance), gd.; De Vesci's divorce ; Ebbw Vale U.D.C., gd.; H. Bath & Son's (delivery warrants) Act, 1890, amend., 3d. ; Llantrisant and Llan- twit Fardre R.D.C., Is. 3d.; L.G.B. (Ireland) orders (No. 1), 9d.; Ministry of Health order (1919) Confirmation (housing), 6d. ; Penllwyn Railway (abandonment), 6d. ; Price's Patent Candle Co., Ltd., Is. ; River Lee watershed (flood prevention), 3d. ; Rugby gas, 25. 3d. ; South Wales Electrical Power Distribution Co., 6d. ; Tyne improvement, 6d. (All net.) H.M.S.O., July '20",2,10,,,"Acts.-Local and private : Abertillery and District Water Bd., 6d. ; City of Dublin Steam Packet Co., 6d. ; Colonial and Foreign Banks Guarantee Corporation (transfer to Alliance Assurance), gd.; De Vesci's divorce ; Ebbw Vale U.D.C., gd.; H. Bath & Son's (delivery warrants) Act, 1890, amend., 3d. ; Llantrisant and Llan- twit Fardre R.D.C., Is. 3d.; L.G.B. (Ireland) orders (No. 1), 9d.; Ministry of Health order (1919) Confirmation (housing), 6d. ; Penllwyn Railway (abandonment), 6d. ; Price's Patent Candle Co., Ltd., Is. ; River Lee watershed (flood prevention), 3d. ; Rugby gas, 25. 3d. ; South Wales Electrical Power Distribution Co., 6d. ; Tyne improvement, 6d.",,(All net.),H.M. STATIONERY OFF.,July 20,False,1920
"Acts.-Bank notes (Ireland), id. ; Blind persons, id. ; Census, 2d.; do., Ireland, id. ; County Councils Association expenses (amend.), id.; Dangerous drugs, 2d. ; Duchy of Lancaster, id. ; Duplicands of feu-duties (Scotland), id. ; Ecclesiastical tithe rentcharge (rates), Id.; Fertilisers (temporary control of export), id.; Finance, gd. ; Firearms, 3d. ; Gas regulation, 3d.; Harbours, docks and piers (temporary increase of charges), id.; Indemnity, 2d.; Jurors (enrolment of women) (Scotland), id. ; Maintenance orders (facilities for enforcement), id. ; Merchant shipping (Scottish fishing boats), id. ; Mining industry, 3d. ; Ministry of Food (continuance), id. ; Nauru Island agreement, id.; Overseas trade (credits and insurance), id.; Pensions (increase), id. ; Post Office and Telegraph, id.; Public Libraries (Ireland), id. ; do. (Scotland), id. ; Ready-money foot- ball betting, id.; Resident Magistrates (Ire- land), id. ; Representation of the people, id. ; Restoration of order in Ireland, id. ; Sheriffs (Ireland), 2d. ; Telegraph (money), id. ; Veterinary Surgeons Act (1881), amend., id.; Unemployment insurance, 9d. ; War pensions, 2d. .H.M.S.O., Aug. '20",2,10,,,"Acts.-Bank notes (Ireland), id. ; Blind persons, id. ; Census, 2d.; do., Ireland, id. ; County Councils Association expenses (amend.), id.; Dangerous drugs, 2d. ; Duchy of Lancaster, id. ; Duplicands of feu-duties (Scotland), id. ; Ecclesiastical tithe rentcharge (rates), Id.; Fertilisers (temporary control of export), id.; Finance, gd. ; Firearms, 3d. ; Gas regulation, 3d.; Harbours, docks and piers (temporary increase of charges), id.; Indemnity, 2d.; Jurors (enrolment of women) (Scotland), id. ; Maintenance orders (facilities for enforcement), id. ; Merchant shipping (Scottish fishing boats), id. ; Mining industry, 3d. ; Ministry of Food (continuance), id. ; Nauru Island agreement, id.; Overseas trade (credits and insurance), id.; Pensions (increase), id. ; Post Office and Telegraph, id.; Public Libraries (Ireland), id. ; do. (Scotland), id. ; Ready-money foot- ball betting, id.; Resident Magistrates (Ire- land), id. ; Representation of the people, id. ; Restoration of order in Ireland, id. ; Sheriffs (Ireland), 2d. ; Telegraph (money), id. ; Veterinary Surgeons Act (1881), amend., id.; Unemployment insurance, 9d. ; War pensions, 2d.",,,H.M. STATIONERY OFF.,Aug. 20,False,1920
"Acts.—Local and private : Ministry of Health orders confirm., is. 6d. net H.M.S.O., Aug. '20",2,10,,,"Acts.—Local and private : Ministry of Health orders confirm.,",,is. 6d. net,H.M. STATIONERY OFF.,Aug. 20,False,1920
"Acts.-Appropriation, 6d. net; Seeds, 2d. net H.M.S.O., Sep. '20",2,10,,,"Acts.-Appropriation, 6d. net; Seeds, 2d. net",,,H.M. STATIONERY OFF.,Sep. 20,False,1920
"Acts-Local and private : Belfast water, is. net ; Carbery's divorce (private); Cooper's divorce (private) ; Dumbarton Burgh gas order, is. gd. net ; Dunfermline and District tramways order, 6d. net ; Farmers Land Purchase Company's, is.net; Fife-Young's divorce (private); Glasgow Corp. order, is. 6d. net ; Great Eastern Ry., 6d. net; Humber Commercial Ry. and Dock, 6d, net ; Invergordon Harbour (transfer), 6d. net; Irvine Habour Order, 25. 3d. net; Lancaster Corp. water, Is. 3d. net; Land drainage (Ouse) Order, 28. 3d. net; Lands Improvement Co.'s amend., 6d. net; Lever Bros., Ltd. (wharves and railway), is. 3d. net ; Llandrindod Wells U.D.C., is. net; L.G.B. (Ireland) Orders (No. 2), Is. net ; L.C.C. : General powers, is. net, Money, gd. net ; Masham U.D., 25. 3d. net; Metropolitan Id. ; 25. Police Order, 3d. net; Ministry of Health Orders: No. 1, Is., No. 3, Is. 6d., No. 7, 28. 3d. net; Motherwell and Wishaw Burgh Order, 28. 3d. net ; Newtownards U.D.C., IS. 3d. net ; Osborne's divorce (private); Pilotage orders, is. net ; Risca U.D.C., 25. gd. net ; Rochester, Chatham and Gillingham gas, IS. 3d. net; Severn navigation, 9d. net; Shekleton's divorce (private); South Metro- politan gas, is. net ; Tees Valley water, is. 6d. net; Tyneside tramways, Is. net; Upper Mersey navigation, 6d.net ; Wandsworth, Wimbledon and Epsom District gas, is. net ; Wear navigation and Sunderland dock, 3d. ; White's divorce (private) H.M.S.O., Sep. ‘20",3,11,,,,,,,,True,1920
"Acts—Local and private : Airdrie and Coatbridge tramways order, 3d. ; Corporation of London (rating of reclaimed lands), 6d. ; Dover Harbour, 28. 3d. ; Dundee Corp., Is. 6d. ; Gas and water orders, 25. 60.; Gas orders, 45. 6d. ; L.G.B. (Ireland) orders (No. 3), 3d. ; Londonderry Bridge, 3d. ; Mayor's and City of London Court, 6d. ; Mersey Railway, 3d.; Ministry of Health order : No. 4, IS. ed., No. 5, 28. 3d., No. 6, 2s.6d., Chesterfield extension, 2s. 60., Gas, 6d., Hertford extension, is. 60., Lincoln extension, is. 9d., New Windsor extension, Is. 3d., Southampton extension, 28. 3d., Widnes extension, is. 60. ; North British and Mercantile Insurance Co.'s., 35. ; Pier and harbour (No. 1), is. ; Pilotage orders : No. 1, is. 3d., No. 3, 9d.; Provisional order (marriages), 3d. ; Seaham Harbour Dock, 6d.; South Hants water, is. ; Tramways orders, gd. ; Wrexham District tramways, 6d. H.M.S.O., Oct. '20",3,11,,,"Acts—Local and private : Airdrie and Coatbridge tramways order, 3d. ; Corporation of London (rating of reclaimed lands), 6d. ; Dover Harbour, 28. 3d. ; Dundee Corp., Is. 6d. ; Gas and water orders, 25. 60.; Gas orders, 45. 6d. ; L.G.B. (Ireland) orders (No. 3), 3d. ; Londonderry Bridge, 3d. ; Mayor's and City of London Court, 6d. ; Mersey Railway, 3d.; Ministry of Health order : No. 4, IS. ed., No. 5, 28. 3d., No. 6, 2s.6d., Chesterfield extension, 2s. 60., Gas, 6d., Hertford extension, is. 60., Lincoln extension, is. 9d., New Windsor extension, Is. 3d., Southampton extension, 28. 3d., Widnes extension, is. 60. ; North British and Mercantile Insurance Co.'s., 35. ; Pier and harbour (No. 1), is. ; Pilotage orders : No. 1, is. 3d., No. 3, 9d.; Provisional order (marriages), 3d. ; Seaham Harbour Dock, 6d.; South Hants water, is. ; Tramways orders, gd. ; Wrexham District tramways, 6d.",,,H.M. STATIONERY OFF.,Oct. 20,False,1920
"Acworth (W. M.)— Historical sketch of State railway ownership. Cr. 8vo. 71 X 5, pp. 104, 3s. 6d. net .MURRAY, Mar.'20",3,11,,Acworth (W. M.),Historical sketch of State railway ownership.,Cr. 8vo.,"71 X 5, pp. 104, 3s. 6d. net .",MURRAY,Mar. 20,False,1920
"Adair (Cecil)—Gabriel's garden. 18mo. 64 x 41, pp. 246, 25. net .S. PAUL, Mar. '20",3,11,,Adair (Cecil),Gabriel's garden.,18mo.,"64 x 41, pp. 246, 25. net .",S. PAUL,Mar. 20,False,1920
"Adair (Cecil)-Monks-Lyoness. Cr. 8vo. 74 x 5. pp. 247, 78. 6d. net......S. PAUL, June '20",3,11,,Adair (Cecil),Monks-Lyoness.,Cr. 8vo.,"74 x 5. pp. 247, 78. 6d. net......",S. PAUL,June 20,False,1920
"Adam (Adela M.)-Arthur Innes Adam, 1894-1916 : a record founded on his letters. 7*X51, pp. 258, ros, 6d. net (Cambridge) BOWES & B., June '20",3,11,,Adam (Adela M.),"Arthur Innes Adam, 1894-1916 : a record founded on his letters.",,"7*X51, pp. 258, ros, 6d. net (Cambridge)",BOWES & B.,June 20,False,1920
"Adam (Patrick W.Interior paintings. With intro. and biog. note by Patrick J. Ford. Folio 13 X 10, 425. net MACLEHOSE, JACKSON, Mar. '20",3,11,,Adam (Patrick W.,Interior paintings. With intro. and biog. note by Patrick J. Ford.,Folio,"13 X 10, 425. net","MACLEHOSE, JACKSON",Mar. 20,False,1920
"Adams (Agnes)—Doddles. Cr. 8vo. 74 X5, pp. 199, 35. 6d. net..... ..MILFORD, Nov. '20",3,11,,Adams (Agnes),Doddles.,Cr. 8vo.,"74 X5, pp. 199, 35. 6d. net..... ..",MILFORD,Nov. 20,False,1920
"Adams (Arthur H.)-The Australians : a novel. Cr. 8vo. 71 X 5, pp. 288, 78. net E. NASH, Jan. '20",3,11,,Adams (Arthur H.),The Australians : a novel.,Cr. 8vo.,"71 X 5, pp. 288, 78. net",E. NASH,Jan. 20,False,1920
"Adams (Arthur H.)—The Australians : a novel. Cr. 8vo. 74 X5, pp. 280, 3s. 6d. net E. NASH, Aug. '20",3,11,,Adams (Arthur H.),The Australians : a novel.,Cr. 8vo.,"74 X5, pp. 280, 3s. 6d. net",E. NASH,Aug. 20,False,1920
"Adams (Miss E. Davenport)—Elsie wins. 18mo. 6 X 43, pp. 80, is. 2d. net ..BLACKIE, Nov. '20",3,11,,Adams (Miss E. Davenport),Elsie wins.,18mo.,"6 X 43, pp. 80, is. 2d. net ..",BLACKIE,Nov. 20,False,1920
"Adams (Henry)-Foundations for machinery. Cr. 8vo. 7x44, pp. 72, swd. 35. 6d. net TECHNICAL PUB. CO., Jan.’20",3,11,,Adams (Henry),Foundations for machinery.,Cr. 8vo.,"7x44, pp. 72, swd. 35. 6d. net",TECHNICAL PUBG. CO.,Jan. 20,False,1920
"Adams (Henry) -Degradation of the democratic dogma. 8vo. 145. net MACMILLAN, June '20",3,11,,Adams (Henry),Degradation of the democratic dogma.,8vo.,145. net,MACMILLAN,June 20,False,1920
"Adams (John) ed.-The New teaching 3rd ed. 8vo. 9 x 57, pp. 435, 125. 6d. net HODDER & S., Mar.'20",3,11,,Adams (John) ed.,The New teaching 3rd ed.,8vo.,"9 x 57, pp. 435, 125. 6d. net",HODDER & S.,Mar. 20,False,1920
"Ada ms (Joseph Quincy)- Shakespearean play- houses : a history of English theatres from the beginning to the Restoration. 8vo. 8* 5, pp. 487, 2iS. net (Houghton Miffin) CONSTABLE, Sep.'20",3,11,,Ada ms (Joseph Quincy),Shakespearean play- houses : a history of English theatres from the beginning to the Restoration.,8vo.,"8* 5, pp. 487, 2iS. net (Houghton Miffin)",CONSTABLE,Sep. 20,False,1920
"Adams (Percy W. L.)-A History of the Adams Family of North Staffordshire, and of their connexion with the development of the potter- ies. 114x98, pp. 481 ST. CATHERINE PR., July. '20",3,11,,Adams (Percy W. L.),"A History of the Adams Family of North Staffordshire, and of their connexion with the development of the potter- ies.",,"114x98, pp. 481",ST. CATHERINE PR.,July 20,False,1920
"Adams (R. E. C., Capt.)—The Modern crusaders. Cr. 8vo. 7* x 5, pp. 190, 35. 6d. net ROUTLEDGE, Jan.'20",3,11,,"Adams (R. E. C., Capt.)",The Modern crusaders.,Cr. 8vo.,"7* x 5, pp. 190, 35. 6d. net",ROUTLEDGE,Jan. 20,False,1920
"Adamson (John William)-A Guide to the history of education. Cr. 8vo. 7 x 41, pp. 47, swd. 8d. (Helps for students of history ser.) S.P.C.K., May. '20",3,11,,Adamson (John William),A Guide to the history of education.,Cr. 8vo.,"7 x 41, pp. 47, swd. 8d. (Helps for students of history ser.)",S.P.C.K.,May 20,False,1920
"Adcock (A. St. John)-For remembrance : soldier poets who have fallen in the War. Rev. and enl. ed. 8vo. 9 x 54, pp. 320, 1os. 6d. net HODDER & S., Jan. '20",3,11,,Adcock (A. St. John),For remembrance : soldier poets who have fallen in the War. Rev. and enl. ed.,8vo.,"9 x 54, pp. 320, 1os. 6d. net",HODDER & S.,Jan. 20,False,1920
