original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"Acts—Local and private : Baptist chapels scheme confirm., 6d.; Bedwas and Machen Urban District Council, is.; Boaz' divorce (private, n.p.-1], 6d.; Bristol waterworks, 35. 30.; Caerphilly Urban District Council, 19. 6d. ; Chepstow water, 28, 3.1. ; Cheshire lines, is. 3d. ; Congregational chapels scheme con- firm., IS.; Cork improvement, 6d.; Ebbw Vale Urban District Council, 3s. ; Electric Lighting Orders confirm., is. 6d.; Essex and Herts Clergy Charity Scheme confirm., IS, ; Gas, Light and Coke Company's, 6d.; Gas and water Prov. Orders, 25. 9d.; Glasgow Boundaries Act, 1912 (Amendment) Order confirm., 3d.; Hemel Hempsted District gas, 35.; Lea Bridge District gas, is, 6d. ; Local Government Board's Prov. Orders confirm. : No. 1, is.; do.: No. 2, 28. ; do. : No. 3, Is. ; London Corn Exchange, Is. 3d.; London County Council (Money!, 9d.; Martin's divorce (private, n.p.-2), 6d.; North Cheshire water, 9d.; Nottingliamshire and Derbyshire tramways, od. ; Presbyterian Church (Crook) Charity Scheme confirm., 6d.; Richmond (Surrey) electricity supply, 6d.; Royal Victoria Infirmary, Newca: tle-upon-Tyne, 6d. ; Sheffield Corporation, Is. 6d.; Sir W. G. Arm trong Whitworth and Company, Ltd, (Railways),45. 3d. ; South Eastern and Lundon, Chatham and Dover Railways, IS. 3d. H.M. STATIONERY OFF., Oct. '17",2,18.0,,,"Acts—Local and private : Baptist chapels scheme confirm., 6d.; Bedwas and Machen Urban District Council, is.; Boaz' divorce (private, n.p.-1], 6d.; Bristol waterworks, 35. 30.; Caerphilly Urban District Council, 19. 6d. ; Chepstow water, 28, 3.1. ; Cheshire lines, is. 3d. ; Congregational chapels scheme con- firm., IS.; Cork improvement, 6d.; Ebbw Vale Urban District Council, 3s. ; Electric Lighting Orders confirm., is. 6d.; Essex and Herts Clergy Charity Scheme confirm., IS, ; Gas, Light and Coke Company's, 6d.; Gas and water Prov. Orders, 25. 9d.; Glasgow Boundaries Act, 1912 (Amendment) Order confirm., 3d.; Hemel Hempsted District gas, 35.; Lea Bridge District gas, is, 6d. ; Local Government Board's Prov. Orders confirm. : No. 1, is.; do.: No. 2, 28. ; do. : No. 3, Is. ; London Corn Exchange, Is. 3d.; London County Council (Money!, 9d.; Martin's divorce (private, n.p.-2), 6d.; North Cheshire water, 9d.; Nottingliamshire and Derbyshire tramways, od. ; Presbyterian Church (Crook) Charity Scheme confirm., 6d.; Richmond (Surrey) electricity supply, 6d.; Royal Victoria Infirmary, Newca: tle-upon-Tyne, 6d. ; Sheffield Corporation, Is. 6d.; Sir W. G. Arm strong Whitworth and Company, Ltd, (Railways),45. 3d. ; South Eastern and Lundon, Chatham and Dover Railways, IS. 3d.",,,H.M. STATIONERY OFF.,Oct. 17,False,1918
"Acts-Pills of exchange (Time of noting), id.; Consolidated Fund (No. 5), id ; Titles depriva- tion, id. Local and private : Pier and Harbour Orders confirm., is. 9d. H. M. STATIONERY OPF., Nov. '17",2,18.0,,,"Acts-Pills of exchange (Time of noting), id.; Consolidated Fund (No. 5), id ; Titles depriva- tion, id. Local and private : Pier and Harbour Orders confirm., is. 9d.",,,H.M. STATIONERY OFF.,Nov. 17,False,1918
"Acts—Air Force (Constitution), 3d. ; Parliament and local elections (No. 2), Id. Local and private : Kenilworth gas, 25. 9d. H.M. STATIONERY OFF., Dec. '17",2,18.0,,,"Acts—Air Force (Constitution), 3d. ; Parliament and local elections (No. 2), Id. Local and private : Kenilworth gas, 25. 9d.",,,H.M. STATIONERY OFF.,Dec. 17,False,1918
"Acts—Appropriation, 4d.; Chequers E. tate, 2d.; Education (Provi ion of meals) (Ireland), id.; Naval and military war pensions, &c. (Com- mittees), id. ; Air Force (Di cipline and regula- tion), 9d ; Naval Di cipline Act, 1866 (Printed, as amended, in accord. W. Air Force (Constitu- tion) Act, 1917), 6d. Local and private : Barrow-in-Furness Corporation Water, 9d.; Port of London, 3s. 3d. H.M. STATIONERY OFF., Jan. '18",2,18.0,,,"Acts—Appropriation, 4d.; Chequers E. tate, 2d.; Education (Provi ion of meals) (Ireland), id.; Naval and military war pensions, &c. (Com- mittees), id. ; Air Force (Di cipline and regula- tion), 9d ; Naval Di cipline Act, 1866 (Printed, as amended, in accord. W. Air Force (Constitu- tion) Act, 1917), 6d. Local and private : Barrow-in-Furness Corporation Water, 9d.; Port of London, 3s. 3d.",,,H.M. STATIONERY OFF.,Jan. 18,False,1918
"Acts - Bishopries of Bralford and Coventry, id. ; Coal mines control agreement (Confirmation), 2d. ; Metropolitan Police, Id.; Midwives (Iré- lanıl), 2d. ; Military service, id.; National Health Insurance, 6d.; National Insurance (Unemployment), Id.; National registration (Amendment), Id.; Non-ferrous metal indus- try, id. ; Relistribution of seats (Ireland), 211.; Representation of the people, is. 6d. ; Wills (Soldiers and sailors), id. Local and private : Ashton-under-Lyne Corporation, 33. Blackpool improvement, 45.; Sheffield gas, 25. 9d. H.M. STATIONERY OFF., Feb. '18",2,18.0,,,"Acts - Bishopries of Bralford and Coventry, id. ; Coal mines control agreement (Confirmation), 2d. ; Metropolitan Police, Id.; Midwives (Iré- lanıl), 2d. ; Military service, id.; National Health Insurance, 6d.; National Insurance (Unemployment), Id.; National registration (Amendment), Id.; Non-ferrous metal indus- try, id. ; Relistribution of seats (Ireland), 211.; Representation of the people, is. 6d. ; Wills (Soldiers and sailors), id. Local and private : Ashton-under-Lyne Corporation, 33. Blackpool improvement, 45.; Sheffield gas, 25. 9d.",,,H.M. STATIONERY OFF.,Feb. 18,False,1918
"Acts—Local and private: South Staffordshire Mond Gas (Power and Heating) Company's (No. 2), 6d...H.M. STATIONERY OFF, Mar. '18",2,18.0,,,"Acts—Local and private: South Staffordshire Mond Gas (Power and Heating) Company's (No. 2), 6d.",,,H.M. STATIONERY OFF.,Mar. 18,False,1918
"Acts-Army (Annual), id. ; Defence of the Realm Food profits), id.; Increase of rent, &c. (Amendinent), id. ; Post Office, id.; Work- meu's compensation (Illegal employment), id. H.M. STATIONERY OFF., May '18",2,18.0,,,"Acts-Army (Annual), id. ; Defence of the Realm Food profits), id.; Increase of rent, &c. (Amendinent), id. ; Post Office, id.; Work- meu's compensation (Illegal employment), id.",,,H.M. STATIONERY OFF.,May 18,False,1918
"Acts--Consolidated Fund (No. 2), id.; Defence of the Realm (Beans, peas, and pulse Orders), Id.; Horse breeding, id. HM. STATIONERY OFF., July '18",2,18.0,,,"Acts--Consolidated Fund (No. 2), id.; Defence of the Realm (Beans, peas, and pulse Orders), Id.; Horse breeding, id.",,,H.M. STATIONERY OFF.,July 18,False,1918
"Acts—Asylums and certified institutions (Officers' pensions), id.; British nationality and staius of aliens, id. ; Consolidated Fund (No. 3), id. ; Corn production (Amendment), Id. ; _Deputy lieutenants, id. ; Education, 4d.; Espiring laws continuance, id. ; Finance, 4d. ; Flax companies (Financial assistance), id.; Govern- ment war obligations, id. ; Juries, id.; Labourers (Ireland), id. ; Land drainage, 2d.; Maternity and child welfare, id. ; Navai prize, id. ; Parliament and local elections, id.; Public health (Borrow vg powers) Ireland, id. ; Public works loans, id. ; Small holdling colonies (Amendment), id.; Solicitors (Articled clerks), Statutory undertakings (Temporary increase of charges), id. ; Summary jurisdiction (Ireland), id.; Trade boards, 2d. ; Trading with the enemy (Amendment), 2d. ; War loan, Id.; Workmen's compensation (Silicosis), id. ; Army Act (Printed, in accord. W. Army (Annual) Act, 1885, w. Amendments to passing of Army (Annual) Act, 1918), 15.; British Nationality and Status of Aliens Act, 1914 (Printed as amended in accord. w. British Nationality and Status of Aliens Act, 1918), id. H.M. STATIONERY OFF., Aug. '18",2,18.0,,,"Acts—Asylums and certified institutions (Officers' pensions), id.; British nationality and staius of aliens, id. ; Consolidated Fund (No. 3), id. ; Corn production (Amendment), Id. ; _Deputy lieutenants, id. ; Education, 4d.; Espiring laws continuance, id. ; Finance, 4d. ; Flax companies (Financial assistance), id.; Govern- ment war obligations, id. ; Juries, id.; Labourers (Ireland), id. ; Land drainage, 2d.; Maternity and child welfare, id. ; Navai prize, id. ; Parliament and local elections, id.; Public health (Borrow vg powers) Ireland, id. ; Public works loans, id. ; Small holdling colonies (Amendment), id.; Solicitors (Articled clerks), Statutory undertakings (Temporary increase of charges), id. ; Summary jurisdiction (Ireland), id.; Trade boards, 2d. ; Trading with the enemy (Amendment), 2d. ; War loan, Id.; Workmen's compensation (Silicosis), id. ; Army Act (Printed, in accord. W. Army (Annual) Act, 1885, w. Amendments to passing of Army (Annual) Act, 1918), 15.; British Nationality and Status of Aliens Act, 1914 (Printed as amended in accord. w. British Nationality and Status of Aliens Act, 1918), id.",,,H.M. STATIONERY OFF.,Aug. 18,False,1918
"Acts-Income tax (Consolidation), 2s. H.M. STATIONERY OFF., Sep. '18",2,18.0,,,"Acts-Income tax (Consolidation), 2s.",,,H.M. STATIONERY OFF.,Sep. 18,False,1918
"Acts--Local and private : Belfast Harbour, 23. 3d. ; British Gas Light Co, Ltd. (Norwich), is.; Brix. ham gas and electricity, is. ; County of London Electric Supply Company's, 6d.; Electric Lighting Orders confirmation, 6d.; Glasgow and South Western Railway Order confirma- tion, 2s. 3d.; Glasgow Corporation Order confirmation, Is. ; Harrod's Stores, Ltd., gd.; Land Drainage Provisional Orders confirmation : Lotting Fen, do. : Pinchbeck, 6d. ; do. : Woodwalton, 3d. ; Local Government Board's Provisional Orders confirmation : No. 1, 6d. ; do. : No. 4, 9d.; do.: No. 5, IS. 3d. ; do. : No. 6, 38. 60.; Local Government Board (Ireland) Provisional Orders confirmation : No. 1, 6d. ; do.: No. 2, 3d. ; London County Council (Money), 6d.; Motherwell Water (Supplementary supply) Order confirmation, 28. 3d.; Nitrate Railways Co., Ltd., 6d.; Pontypridd and Rhondda water, 6d.; Provi. sional Order (Marriages) confirmation, 30. ; Railway passengers assurance (Consolidation), 28. ; Rothesay Tramways (Amendment) Order confirmation, 3d.; Shropshire, Worces- tershire and Staffordshire electric power, 28. 6d.; West Bromwich Corporation, ed.; Westgate. on-Sea Congregational Chapel Charity Scheme confirmation, 6d.; Yorkshire electric power, 3d. ......H.M. STATIONERY OFFICE, Oct. '18",2,18.0,,,"Acts--Local and private : Belfast Harbour, 23. 3d. ; British Gas Light Co, Ltd. (Norwich), is.; Brix. ham gas and electricity, is. ; County of London Electric Supply Company's, 6d.; Electric Lighting Orders confirmation, 6d.; Glasgow and South Western Railway Order confirma- tion, 2s. 3d.; Glasgow Corporation Order confirmation, Is. ; Harrod's Stores, Ltd., gd.; Land Drainage Provisional Orders confirmation : Lotting Fen, do. : Pinchbeck, 6d. ; do. : Woodwalton, 3d. ; Local Government Board's Provisional Orders confirmation : No. 1, 6d. ; do. : No. 4, 9d.; do.: No. 5, IS. 3d. ; do. : No. 6, 38. 60.; Local Government Board (Ireland) Provisional Orders confirmation : No. 1, 6d. ; do.: No. 2, 3d. ; London County Council (Money), 6d.; Motherwell Water (Supplementary supply) Order confirmation, 28. 3d.; Nitrate Railways Co., Ltd., 6d.; Pontypridd and Rhondda water, 6d.; Provi. sional Order (Marriages) confirmation, 30. ; Railway passengers assurance (Consolidation), 28. ; Rothesay Tramways (Amendment) Order confirmation, 3d.; Shropshire, Worces- tershire and Staffordshire electric power, 28. 6d.; West Bromwich Corporation, ed.; Westgate. on-Sea Congregational Chapel Charity Scheme confirmation, 6d.; Yorkshire electric power, 3d.",,,H.M. STATIONERY OFF.,Oct. 18,False,1918
"Acts. See also Laws; Statutes, etc. Adair (Cecil)-Green dusk for dreams. Cr. 8vo. 7tx 5, PP 319, 6s. net ....S. PAUL, Nov. '18",2,18.0,"Acts. See also Laws; Statutes, etc.",Adair (Cecil),Green dusk for dreams.,Cr. 8vo.,"7tx 5, PP 319, 6s. net ....",S. PAUL,Nov. 18,False,1918
"Adair (Joan)-Songs from Dublin city. 71x5, pp. 28, Is. .... TALBOT PR., Apr.'18",2,18.0,,Adair (Joan),Songs from Dublin city.,,"71x5, pp. 28, Is. ....",TALBOT PR.,Apr. 18,False,1918
"Adami (J. G.)-Medical contributions to the study of evolution. 8vo. 83 x 58, pp. 390, 18s. net DUCKWORTH, Apr. '18",2,18.0,,Adami (J. G.),Medical contributions to the study of evolution.,8vo.,"83 x 58, pp. 390, 18s. net",DUCKWORTH,Apr. 18,False,1918
"Adams (G. B.)--An Outline sketch of English constitutional history. Cr. 8vo. 7! X5, pp. 208, 78. 64. net ..MILFORD, May'18",2,18.0,,Adams (G. B.),An Outline sketch of English constitutional history.,Cr. 8vo.,"7! X5, pp. 208, 78. 64. net ..",MILFORD,May 18,False,1918
"Adams (J.)-The Suffering of the best Cr. 8vo. 7.*44, pp. 164, swd. 35. 6d. net CLARK, Nov. '18",2,18.0,,Adams (J.),The Suffering of the best,Cr. 8vo.,"7.*44, pp. 164, swd. 35. 6d. net",CLARKE,Nov. 18,False,1918
"Adams (Prof. John) ed.--The New teaching. 8vo. 81 x 54, pp. 435, 10s. 6d. net HODDER & S., Aug. '18",3,19.0,,Adams (Prof. John) ed.,The New teaching.,8vo.,"81 x 54, pp. 435, 10s. 6d. net",HODDER & S.,Aug. 18,False,1918
"Adams (J. Quincy) 'ed.—The Dramatic records of Sir Henry Herbert, Master of the Revels, 1623-1673. Med. 8vo. 95 X6}, pp. 170, ros. 6d. net (Cornell Studies in English) MILFORD, Apr. '18",3,19.0,,Adams (J. Quincy) 'ed.,"The Dramatic records of Sir Henry Herbert, Master of the Revels, 1623-1673.",Med. 8vo.,"95 X6}, pp. 170, ros. 6d. net (Cornell Studies in English)",MILFORD,Apr. 18,False,1918
"Adams (John Quincy)--Writings. Ed. by Worthing ton C. Ford. Vol. 7, 1820-1823. 8vo. 185. net MACMILLAN, May' 18",3,19.0,,Adams (John Quincy),"Writings. Ed. by Worthing ton C. Ford. Vol. 7, 1820-1823.",8vo.,185. net,MACMILLAN,May 18,False,1918
"Adcics (A. St. John)—“ Billicks.” New ed. Cr. 8vo. 28. net ...S. PAUL, Dec. '18",3,19.0,,Adcics (A. St. John),""" Billicks."" New ed.",Cr. 8vo.,28. net,S. PAUL,Dec. 18,False,1918
"Adcock (A. St. John)-For remembrance : soldier poets who have fallen in the war. Cr. 8vo. 71 x 5, pp. 246, 78. 6d. net HODDER & S., Oct. '18",3,19.0,,Adcock (A. St. John),For remembrance : soldier poets who have fallen in the war.,Cr. 8vo.,"71 x 5, pp. 246, 78. 6d. net",HODDER & S.,Oct. 18,False,1918
"Adeack (Marion St. John) (Mrs. S. H. Webb)- The Little stone. Illus. by M. Tarrant. Cr. 8vo. 58. net .HARRAP, June '18",3,19.0,,Adeack (Marion St. John) (Mrs. S. H. Webb),The Little stone. Illus. by M. Tarrant.,Cr. 8vo.,58. net .,HARRAP,June 18,False,1918
"Adda liv (lain s) d.-A11 hin 1 w liva: nars by a wounded soldier.(AtwoodTomkins.) 18mo. 61 x 4, pp. 143, Is. 60.net CONSTABLE, Mar.'18",3,19.0,,Adda liv (lain s) d.,A11 hin 1 w liva: nars by a wounded soldier.(AtwoodTomkins.),18mo.,"61 x 4, pp. 143, Is. 60.net",CONSTABLE,Mar. 18,False,1918
"Adkins (Thomas Francis)-The Nautical cookery book. 8th ed. Cr. 8vo. 64 X4, pp. 240, 28. 6d. net ...J. BROWN, Apr. '18",3,19.0,,Adkins (Thomas Francis),The Nautical cookery book. 8th ed.,Cr. 8vo.,"64 X4, pp. 240, 28. 6d. net ...",J. BROWN,Apr. 18,False,1918
"Adler (Alfred)—The Neurotic constitution : out- lines of a comparative individualistic psy- chology and psychotherapy. Authori ed Eng. trans. by Bernard Glueck and John E. Lind. 8vo. 81% 54, pp. 479, 16s. net K. PAUL, May '18",3,19.0,,Adler (Alfred),The Neurotic constitution : out- lines of a comparative individualistic psy- chology and psychotherapy. Authori ed Eng. trans. by Bernard Glueck and John E. Lind.,8vo.,"81% 54, pp. 479, 16s. net",K. PAUL,May 18,False,1918
"Adler (Elkin Nathan)—A Gazetteer of Hebrew printing. 91x6, pp. 23, 25. GRAFTON, Jan. '18",3,19.0,,Adler (Elkin Nathan),A Gazetteer of Hebrew printing.,,"91x6, pp. 23, 25.",GRAFTON,Jan. 18,False,1918
"Adler (Felix)-An Ethical philosophy of life presented in its main outlines. 8vo. pp. 388, I2s. 6d. net .APPLETON, July'18",3,19.0,,Adler (Felix),An Ethical philosophy of life presented in its main outlines.,8vo.,"pp. 388, I2s. 6d. net .",APPLETON,July 18,False,1918
"Adler (Michael)_Student's Hebrew grammar, w. exer. and vocab. 3rd ed. Cr. 8vo. 7! X55, pp. 204, 78. 6d. net ..NUTT, Dec. '18",3,19.0,,Adler (Michael),"Student's Hebrew grammar, w. exer. and vocab. 3rd ed.",Cr. 8vo.,"7! X55, pp. 204, 78. 6d. net ..",NUTT,Dec. 18,False,1918
"Administrative reform of the Church : being the report of the Archbishops' Fourth Committee of Inquiry. 8vo. 81 X54, pp. 32, swd. 6d. net S.P.C.K., May’18",3,19.0,,,Administrative reform of the Church : being the report of the Archbishops' Fourth Committee of Inquiry.,8vo.,"81 X54, pp. 32, swd. 6d. net",S.P.C.K.,May 18,False,1918
"Admiralty-Bulgarian language : concise grammar, w. reading exer. and vocab. 55. H.M. STATIONERY OFF., Jan '18",3,19.0,,,"Admiralty-Bulgarian language : concise grammar, w. reading exer. and vocab.",,55.,H.M. STATIONERY OFF.,Jan. 18,False,1918
"Admiralty-Hydrographic. British Columbia pilot. Vol. 1, 1913: Rev. supp. (2), 1918 POTTER, Oct. '18",3,19.0,,,"Admiralty-Hydrographic. British Columbia pilot. Vol. 1, 1913: Rev. supp. (2), 1918",,,POTTER,Oct. 18,False,1918
"Admiralty--Hydrographic. Catalogue oi charts, plans and sailing directions. Currected to Dec. 31st, 1917 ...POTTER, June '18",3,19.0,,,"Admiralty--Hydrographic. Catalogue oi charts, plans and sailing directions. Currected to Dec. 31st, 1917 ...",,,POTTER,June 18,False,1918
"Admiralty--Hydrographic. Central America and United States (West coa: ts) Pilot, 1916 : Supp., IQ17 .POTTER, Feb. '18",3,19.0,,,"Admiralty--Hydrographic. Central America and United States (West coa: ts) Pilot, 1916 : Supp., IQ17 .",,,POTTER,Feb. 18,False,1918
"Admiralty-Hydiog aphuc. Listance lab.es. Vol. 1, N. and W. coasts of Europe fr. Kaia Sea to Cape Finisterre, incl. British Islands, Iceland, Faeroes, and the Baltic, w the Azores, Madeira, Canary Islands, Cape Verde Islands, and Gibraltar. 3rd ed. 2s.....POTTER, Dec. '17",3,19.0,,,"Admiralty-Hydiog aphuc. Listance lab.es. Vol. 1, N. and W. coasts of Europe fr. Kaia Sea to Cape Finisterre, incl. British Islands, Iceland, Faeroes, and the Baltic, w the Azores, Madeira, Canary Islands, Cape Verde Islands, and Gibraltar. 3rd ed.",,2s.,POTTER,Dec. 17,False,1918
"Admiralty--Hydrographic. Distance tables. Vol. 3, Eastern shores of Atlantic Ocean and off. lying Islands, fr. Iceland to Cape of Good Hope (excl. British Islands, France, and North Coast of Spain), and Shores and Islands of Indian Ocean, ind, North and West Coasts of Australia. 2nd ed. 28. ..POTTER, July '18",3,19.0,,,"Admiralty--Hydrographic. Distance tables. Vol. 3, Eastern shores of Atlantic Ocean and off. lying Islands, fr. Iceland to Cape of Good Hope (excl. British Islands, France, and North Coast of Spain), and Shores and Islands of Indian Ocean, ind, North and West Coasts of Australia. 2nd ed.",,28. ..,POTTER,July 18,False,1918
"Admiralty–Hydrographic. Eastern Archipelago pilot. Pt. 3, 1911 : Rev. supp. (2), 1917 POTTER, Nov. '17",3,19.0,,,"Admiralty–Hydrographic. Eastern Archipelago pilot. Pt. 3, 1911 : Rev. supp. (2), 1917",,,POTTER,Nov. 17,False,1918
"Admiralty-Hydrographic. England (West coast) Pilot, 1910 : Rev. supp. (3), 1918 POTTER, July '18",3,19.0,,,"Admiralty-Hydrographic. England (West coast) Pilot, 1910 : Rev. supp. (3), 1918",,,POTTER,July 18,False,1918
"Admiralty --Hydrographic. ., France, Spain, and Portugal (West coasts) pilot, 1910: Rey: supp: (3), 1917 .POTTER, Feb. '18",3,19.0,,,"Admiralty --Hydrographic. ., France, Spain, and Portugal (West coasts) pilot, 1910: Rey: supp: (3), 1917",,,POTTER,Feb. 18,False,1918
"Admiralty--Hydrographic. India (West coast) pilot, 1909 : Rev. supp. (3), 1918 POTTER, Apr. '18",3,19.0,,,"Admiralty--Hydrographic. India (West coast) pilot, 1909 : Rev. supp. (3), 1918",,,POTTER,Apr. 18,False,1918
"Admiralty-Hydrographic. Irish coast pilot, 1911 : Rev. supp. (3), 1918 ..POTTER, Oct. '18",3,19.0,,,"Admiralty-Hydrographic. Irish coast pilot, 1911 : Rev. supp. (3), 1918",,,POTTER,Oct. 18,False,1918
