,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
3364,"Income and expenditure (Public --Account, 1914-1s. fd.... WYMAN, May 15",,,Income and expenditure (Public --Account,WYMAN,,0.0,,"Income and expenditure (Public --Account, 1914-15. fd.... WYMAN, May 15",,,,May 15,
3365,"Income tax and inhabited house duties : reports of cases in Gt. Britain. Vol. 6, pt. 7, 6d. WYMAN, June 15",,,Income tax and inhabited house duties : reports of cases in Gt,WYMAN,6d.,0.025,,"Income tax and inhabited house duties : reports of cases in Gt. Britain. Vol. 6, pt. 7, 6d. WYMAN, June 15",,,,June 15,
3366,"Income tax and inhabited house duties-Reports of cases in Gt. Britain. Vol. 6, pt. 8, 6d. WYMAN, Oct. 15",,,Income tax and inhabited house duties-Reports of cases in Gt,WYMAN,6d.,0.025,,"Income tax and inhabited house duties-Reports of cases in Gt. Britain. Vol. 6, pt. 8, 6d. WYMAN, Oct. 15",,,,Oct. 15,
3367,"Index to periodicals. Compiled by various authorities and arranged by A. Cecil Piper. Vol. 1, Apr.-Sept., 1914. 4to. 2 is. net PAUL, May 15",,,Index to periodicals,PAUL,,0.0,4to.,"Index to periodicals. Compiled by various authorities and arranged by A. Cecil Piper. Vol. 1, Apr.-Sept., 1914. 4to. 2 is. net PAUL, May 15",,,,May 15,
3368,"India Bijl, Govt. of (H.L.)- Joint Select Committee on : Report, id. .WYMAN, June 15",,,"India Bijl, Govt",WYMAN,,0.0,,"India Bijl, Govt. of (H.L.)- Joint Select Committee on : Report, id. .WYMAN, June 15",,,,June 15,
3389,"India Office List, 1915 (The). 8vo. Ios. 6d. net HARRISON, Mar. 15",,,India Office List,HARRISON,6d.,0.025,8vo.,"India Office List, 1915 (The). 8vo. Ios. 6d. net HARRISON, Mar. 15",,,,Mar. 15,net
3390,"Infant hymn book (The). Pianoforte arrange- ment by Grace Lambert. 4to., swd. is. 6d. net DAVIDSON BROS., Jan. 15",,,Infant hymn book (The),DAVIDSON BROS.,6d.,0.025,4to.,"Infant hymn book (The). Pianoforte arrange- ment by Grace Lambert. 4to., swd. is. 6d. net DAVIDSON BROS., Jan. 15",,,,Jan. 15,net
3391,"Infants' Magazine, 1916. 8vo. 9 x64, pp. 194, 2s. ; bds. 1s. 6d. ..PARTRIDGE, Oct. 15",,,Infants' Magazine,PARTRIDGE,1s. 6d.,0.07500000000000001,8vo.,"Infants' Magazine, 1916. 8vo. 9 x64, pp. 194, 25. ; bds. Is. 6d. ..PARTRIDGE, Oct. 15",,,,Oct. 15,
3403,"Inheritance of the Saints (The) ; or, Thoughts on the Communion of Saints and the life of the world to come. By L.P. Shortened edit. arranged for Saturdays of the Christian Year. Cr. 8vo. pp. 140, 2s. net ; swd. 1s. 6d. net LONGMANS, Oct. 15",,,"Inheritance of the Saints (The) ; or, Thoughts on the Communion of Saints and the life of the world to come",LONGMANS,1s. 6d.,0.07500000000000001,8vo.,"Inheritance of the Saints (The) ; or, Thoughts on the Communion of Saints and the life of the world to come. By L.P. Shortened edit. arranged for Saturdays of the Christian Year. Cr. 8vo. pp. 140, 25. net ; swd. Is. 6d. net LONGMANS, Oct. 15",,,,Oct. 15,net
3404,"Inkoland, a wonderful country of “ let's pretend. Illus. by two small boys. 7x7!. 28. 6d. net (96, Midhurst Rd., W. Ealing) HARNDEN, Dec. 15",,,"Inkoland, a wonderful country of “ let's pretend",HARNDEN,6d.,0.025,,"Inkoland, a wonderful country of “ let's pretend. Illus. by two small boys. 7x7!. 28. 6d. net (96, Midhurst Rd., W. Ealing) HARNDEN, Dec. 15",,,,Dec. 15,net
3407,"Intelligence, Instinct and, Macnamara (N. C.) 6s. net. Intercossion. 32mo. swd. 2d. SPOTTISWOODE, July 15",,,"Intelligence, Instinct and, Macnamara (N. C.)",SPOTTISWOODE,2d.,0.008333333333333333,32mo.,"Intelligence, Instinct and, Macnamara (N. C.) 6s. net. Intercossion. 32mo. swd. 2d. SPOTTISWOODE, July 15",,,,July 15,
3408,"Intermediate applied mathematics papers : being papers set at the Intermediate Examinations of the Univ. of London from 1902 to 1914. With answers. Cr. 8vo., pp. 116, swd. 2s. 6d. UNIV. TUTOR. PR., May 15",,,Intermediate applied mathematics papers : being papers set at the Intermediate Examinations of the Univ,UNIV. TUTOR. PR.,2s. 6d.,0.125,8vo.,"Intermediate applied mathematics papers : being papers set at the Intermediate Examinations of the Univ. of London from 1902 to 1914. With answers. Cr. 8vo., pp. 116, swd. 25. 6d. UNIV. TUTOR. PR., May 15",,,,May 15,
3409,"Intermediate applied mathematics papers : being papers set at the Intermediate Exams. of the Univ. of London fr. 1905 to 1915, with answers. 8vo. swd, 28. 60. ...CLIVE, Dec. 15",,,Intermediate applied mathematics papers : being papers set at the Intermediate Exams,CLIVE,,0.0,8vo.,"Intermediate applied mathematics papers : being papers set at the Intermediate Exams. of the Univ. of London fr. 1905 to 1915, with answers. 8vo. swd, 28. 60. ...CLIVE, Dec. 15",,,,Dec. 15,
3410,"Intermediate French papers : being recent papers in French set at the London Univ. Inter. Arts Pass Exam. from 1899 to 191s. Cr. 8vo., pp. 60, swd., s. ... . UNIV. TUTOR. PR., Sep. 15",,,Intermediate French papers : being recent papers in French set at the London Univ,UNIV. TUTOR. PR.,,0.0,8vo.,"Intermediate French papers : being recent papers in French set at the London Univ. Inter. Arts Pass Exam. from 1899 to 1915. Cr. 8vo., pp. 60, swd., IS. ... . UNIV. TUTOR. PR., Sep. 15",,,,Sep. 15,
3411,"Intermediate mathematics papers : being the questions in pure mathematics set at the Inter. Exams. of London Univ. from 1901-191s. Cr. 8vo., pp. 112, swd., 28. UNIV. TUTOR. PR., Sep 15",,,Intermediate mathematics papers : being the questions in pure mathematics set at the Inter,UNIV. TUTOR. PR.,,0.0,8vo.,"Intermediate mathematics papers : being the questions in pure mathematics set at the Inter. Exams. of London Univ. from 1901-1915. Cr. 8vo., pp. 112, swd., 28. UNIV. TUTOR. PR., Sep 15",,,,Sep 15,
3412,"Intermediate pure mathematics model answers : being the mathematical papers set at the London Univ. Inter. Exams. in arts and science fr. 1909 to 191s. Cr. 8vo., pp. 152, swd., 2s. 60. UNIV. TUTOR, PR., Sep. 15",,,Intermediate pure mathematics model answers : being the mathematical papers set at the London Univ,"UNIV. TUTOR, PR.",,0.0,8vo.,"Intermediate pure mathematics model answers : being the mathematical papers set at the London Univ. Inter. Exams. in arts and science fr. 1909 to 1915. Cr. 8vo., pp. 152, swd., 25. 60. UNIV. TUTOR, PR., Sep. 15",,,,Sep. 15,
3413,"Intermediate science physics papers : being the questions set at the Inter. Exam, of the Univ. of London, from 1894-191s. Cr. 8vo., pp. 88, swd., 2s. 60. UNIV. TUTOR. PR., Sep. 15",,,Intermediate science physics papers : being the questions set at the Inter,UNIV. TUTOR. PR.,,0.0,8vo.,"Intermediate science physics papers : being the questions set at the Inter. Exam, of the Univ. of London, from 1894-1915. Cr. 8vo., pp. 88, swd., 25. 60. UNIV. TUTOR. PR., Sep. 15",,,,Sep. 15,
3414,"International crisis in its ethical and psychological aspects, The : lectures by E. M. Sidgwick, G. Murray, A. C. Bradley, L. P. Jacks, G. F. Stout, B. Bosanquet, at Bedford College. Med. 8vo. 91x57, pp. 164, 3s. 6d. net MILFORD, June 15",,,"International crisis in its ethical and psychological aspects, The : lectures by E. M. Sidgwick, G. Murray, A. C. Bradley, L. P. Jacks, G. F. Stout, B. Bosanquet, at Bedford College",MILFORD,3s. 6d.,0.175,8vo.,"International crisis in its ethical and psychological aspects, The : lectures by E. M. Sidgwick, G. Murray, A. C. Bradley, L. P. Jacks, G. F. Stout, B. Bosanquet, at Bedford College. Med. 8vo. 91x57, pp. 164, 3s. 6d. net MILFORD, June 15",,,,June 15,net
3415,"International Law Association--A Forty years catalogue of the books, pamphlets, papers in the Library of the I.L.A.* Cr. 8vo. 4s. net SWEET & M., Nov. 15",,,"International Law Association--A Forty years catalogue of the books, pamphlets, papers in the Library of the I.L.A.*",SWEET & M.,4s.,0.2,8vo.,"International Law Association--A Forty years catalogue of the books, pamphlets, papers in the Library of the I.L.A.* Cr. 8vo. 45. net SWEET & M., Nov. 15",,,,Nov. 15,net
3416,"International Law Association--Reports as pre- pared for the conference to have been held at the Hague in 1914. 8vo. 16s. net SWEET & M., Nov. 15",,,International Law Association--Reports as pre- pared for the conference to have been held at the Hague in,SWEET & M.,16s.,0.8,8vo.,"International Law Association--Reports as pre- pared for the conference to have been held at the Hague in 1914. 8vo. 16s. net SWEET & M., Nov. 15",,,,Nov. 15,net
3418,"Ireland Public works : Report, 1913-14. With append. and decennial ind. Illust. uid. WYMAN, Feb. 15",,,Ireland Public works : Report,WYMAN,,0.0,,"Ireland Public works : Report, 1913-14. With append. and decennial ind. Illust. uid. WYMAN, Feb. 15",,,,Feb. 15,
3419,"Irish golfing guide, 191s. Ed. by J. Henderson. 7 X 5, pp. 253, s. (Dublin) “ IRISH LIFE, June 15",,,Irish golfing guide,IRISH LIFE,,0.0,,"Irish golfing guide, 1915. Ed. by J. Henderson. 7 X 5, pp. 253, IS. (Dublin) “ IRISH LIFE, June 15",,,,June 15,
3420,"Irish Land Commission-Return of advances made under the Irish Land Purchase Acts (monthly). Various prices, about 6d. WYMAN, Jan., &c., 15",,,Irish Land Commission-Return of advances made under the Irish Land Purchase Acts (monthly),WYMAN,6d.,0.025,,"Irish Land Commission-Return of advances made under the Irish Land Purchase Acts (monthly). Various prices, about 6d. WYMAN, Jan., &c., 15",,,,"Jan., &c., 15",
3421,"Irish Land Commission-Report, 1914-1s. is. 3d. WYMAN, Nov 15",,,Irish Land Commission-Report,WYMAN,3d.,0.0125,,"Irish Land Commission-Report, 1914-15. is. 3d. WYMAN, Nov 15",,,,Nov 15,
3422,"Irish Land Commission-Return of proceedings under Land Law, &c., Acts (monthly). ea. about 2jd. WYMAN, Jan., &c., 15",,,"Irish Land Commission-Return of proceedings under Land Law, &c",WYMAN,,0.0,,"Irish Land Commission-Return of proceedings under Land Law, &c., Acts (monthly). ea. about 2jd. WYMAN, Jan., &c., 15",,,,"Jan., &c., 15",
3423,"Irish manufacturers' directory and year book. 71 x6, pp. 331, 1s. 9d. (Dublin) DOLLARD, Feb. 15",,,Irish manufacturers' directory and year book,DOLLARD,1s. 9d.,0.0875,,"Irish manufacturers' directory and year book. 71 x6, pp. 331, Is. 9d. (Dublin) DOLLARD, Feb. 15",,,,Feb. 15,
3424,"Irish nuns at Ypres (The) : an episode of the War. By D. M. C. Ed. by R. Barry O'Brien. Illus. Cr. 8vo. 78 X 41, pp. 226, 28. 6d. net SMITH, F., May 15",,,Irish nuns at Ypres (The) : an episode of the War,"SMITH, F.",6d.,0.025,8vo.,"Irish nuns at Ypres (The) : an episode of the War. By D. M. C. Ed. by R. Barry O'Brien. Illus. Cr. 8vo. 78 X 41, pp. 226, 28. 6d. net SMITH, F., May 15",,,,May 15,net
3425,"Irish orators and oratory. With an intro. by Prof. T. M. Kettle. Cr. 8vo. 74 X 4, pp. 464, 2s. 6d. net (Every Irishman's lib.) UNWIN, Sep. 15",,,Irish orators and oratory,UNWIN,2s. 6d.,0.125,8vo.,"Irish orators and oratory. With an intro. by Prof. T. M. Kettle. Cr. 8vo. 74 X 4, pp. 464, 2s. 6d. net (Every Irishman's lib.) UNWIN, Sep. 15",,,,Sep. 15,net
