,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
89,"Anderson (Robert, Sir)- The Lighter Side of My Official Life. 8vo. 91 X6, pp. 308, 1os. 6d. net HODDER & S., Nov. 10",Anderson,"Robert, Sir",The Lighter Side of My Official Life,HODDER & S.,6d.,0.025,8vo.,"Anderson (Robert, Sir)- The Lighter Side of My Official Life. 8vo. 91 X6, pp. 308, 1os. 6d. net HODDER & S., Nov. 10","Robert, Sir Anderson","['Anderson (Robert, Sir)']",,Nov. 10,net
90,"Anderson (Robert, Sir)—The Lord from Heaven : Chapters on the Deity of Christ. 8vo. 81 X5}, pp. 148, 3s. 6d. ..NISBET, Feb. 10",Anderson,"Robert, Sir",The Lord from Heaven : Chapters on the Deity of Christ,NISBET,3s. 6d.,0.175,8vo.,"Anderson (Robert, Sir)—The Lord from Heaven : Chapters on the Deity of Christ. 8vo. 81 X5}, pp. 148, 35. 6d. ..NISBET, Feb. 10","Robert, Sir Anderson","['Anderson (Robert, Sir)']",,Feb. 10,
92,"Andom (R.)---Four Men with a Van. 8vo. Swd. 6d. ..... CASSELL, May 10",Andom,R.,Four Men with a Van,CASSELL,6d.,0.025,8vo.,"Andom (R.)---Four Men with a Van. 8vo. Swd. 6d. ..... CASSELL, May 10",R. Andom,['Andom (R.)'],,May 10,
93,"Andom (R.)—The Magic Bowl. Cr. 8vo. swd. 6d. JARROLD, June 10",Andom,R.,The Magic Bowl,JARROLD,6d.,0.025,8vo.,"Andom (R.)—The Magic Bowl. Cr. 8vo. swd. 6d. JARROLD, June 10",R. Andom,['Andom (R.)'],,June 10,
96,"Andrew (Stephen)-Doctor Grey. A Novel. Cr. 8vo. 74 X4, pp. 320, 6s. GREENING, Dec, 10",Andrew,Stephen,Doctor Grey,GREENING,6s.,0.3,8vo.,"Andrew (Stephen)-Doctor Grey. A Novel. Cr. 8vo. 74 X4, pp. 320, 6s. GREENING, Dec, 10",Stephen Andrew,['Andrew (Stephen)'],,"Dec, 10",
98,"Andreyen (L.)-Anathema, a Tragedy in Seven Scenes. Cr. 8vo. 5s. net . . MACMILLAN, Nov. 10",Andreyen,L.,"Anathema, a Tragedy in Seven Scenes",MACMILLAN,5s.,0.25,8vo.,"Andreyen (L.)-Anathema, a Tragedy in Seven Scenes. Cr. 8vo. 5s. net . . MACMILLAN, Nov. 10",L. Andreyen,['Andreyen (L.)'],,Nov. 10,net
100,"Andreyev (L. N.)-Silence, and Other Stories. Trans. from the Russian by W. H.. Lowe. Cr. 8vo., 3s. 6d. net ....F. GRIFFITHS, Sep. 10",Andreyev,L. N.,"Silence, and Other Stories",F. GRIFFITHS,3s. 6d.,0.175,8vo.,"Andreyev (L. N.)-Silence, and Other Stories. Trans. from the Russian by W. H.. Lowe. Cr. 8vo., 35. 6d. net ....F. GRIFFITHS, Sep. 10",L. N. Andreyev,['Andreyev (L. N.)'],,Sep. 10,net
101,"Androutsos (Chrestos)-The Validity of English Ordinations from an Orthodox Catholic Point of View. Cr. 8vo. 7* X5, pp. 148, 3s. 6d. net RICHARDS, Feb. 10",Androutsos,Chrestos,The Validity of English Ordinations from an Orthodox Catholic Point of View,RICHARDS,3s. 6d.,0.175,8vo.,"Androutsos (Chrestos)-The Validity of English Ordinations from an Orthodox Catholic Point of View. Cr. 8vo. 7* X5, pp. 148, 3s. 6d. net RICHARDS, Feb. 10",Chrestos Androutsos,['Androutsos (Chrestos)'],,Feb. 10,net
103,"Annesley (Maude) — Wind along thc Waste. Cr. 8vo. 78 X5, pp. 316, 6s. METHUEN, Sep. 10",Annesley,Maude,Wind along thc Waste,METHUEN,6s.,0.3,8vo.,"Annesley (Maude) — Wind along thc Waste. Cr. 8vo. 78 X5, pp. 316, 6s. METHUEN, Sep. 10",Maude Annesley,['Annesley (Maude)'],,Sep. 10,
104,"Annett (H. E.)-The Nature of the Colour of Black Cotton Soil. 4to. swd. is. 6d. net THACKER, June 10",Annett,H. E.,The Nature of the Colour of Black Cotton Soil,THACKER,6d.,0.025,4to.,"Annett (H. E.)-The Nature of the Colour of Black Cotton Soil. 4to. swd. is. 6d. net THACKER, June 10",H. E. Annett,['Annett (H. E.)'],,June 10,net
