,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
27,"Esop and others-The Fables. Designs on Wood by Thomas Bewick. New ed. cr. 8vo. 7 x 44, pp. 400, 3s. 6d. net. .METHUEN, June 03",,,Esop and others-The Fables,METHUEN,3s. 6d.,8vo.,"Esop and others-The Fables. Designs on Wood by Thomas Bewick. New ed. cr. 8vo. 7 x 44, pp. 400, 3s. 6d. net. .METHUEN, June 03",,,,June 03,1903,net
28,"Agricultural Handbook and Diary, 1904. 8vo. bds. 18. .......VINTON, Nov. 03",,,Agricultural Handbook and Diary,VINTON,,8vo.,"Agricultural Handbook and Diary, 1904. 8vo. bds. 18. .......VINTON, Nov. 03",,,,Nov. 03,1903,
29,"Aguilar (Grace)-Days of Bruce: Story from Scottish History. New ed. cr. 8vo. 7 × 43, pp. 598, 8s. 6d. ..ROUTLEDGE, Apr. 03",Aguilar,Grace,Days of Bruce: Story from Scottish History,ROUTLEDGE,8s. 6d.,8vo.,"Aguilar (Grace)-Days of Bruce: Story from Scottish History. New ed. cr. 8vo. 7 × 43, pp. 598, 8s. 6d. ..ROUTLEDGE, Apr. 03",Grace Aguilar,['Aguilar (Grace)'],,Apr. 03,1903,
30,"Ainger (A. C.)-First Latin-English Dictionary. 8vo. 8 x 5, pp. 218, 2s. 6d. ..MURRAY, Nov. 03",Ainger,A. C.,First Latin-English Dictionary,MURRAY,2s. 6d.,8vo.,"Ainger (A. C.)-First Latin-English Dictionary. 8vo. 8 x 5, pp. 218, 2s. 6d. ..MURRAY, Nov. 03",A. C. Ainger,['Ainger (A. C.)'],,Nov. 03,1903,
31,"Ainslee (D.)-John of Damascus. 3rd ed. 12mo. parchment, 68. net......... UNICORN PRESS, Feb. 03",Ainslee,D.,John of Damascus,UNICORN PRESS,,12mo.,"Ainslee (D.)-John of Damascus. 3rd ed. 12mo. parchment, 68. net......... UNICORN PRESS, Feb. 03",D. Ainslee,['Ainslee (D.)'],,Feb. 03,1903,
32,"Ainsley's Nautical Almanac, 1904. Cr. 8vo. 1s.; swd. 6d. .SIMPKIN, Oct. 03",,,Ainsley's Nautical Almanac,SIMPKIN,6d.,8vo.,"Ainsley's Nautical Almanac, 1904. Cr. 8vo. 1s.; swd. 6d. .SIMPKIN, Oct. 03",,,,Oct. 03,1903,
33,"Ainsworth (W. H.)-Jack Sheppard. 8vo. swd. 6d. .GREENING, Dec. 03",Ainsworth,W. H.,Jack Sheppard,GREENING,6d.,8vo.,"Ainsworth (W. H.)-Jack Sheppard. 8vo. swd. 6d. .GREENING, Dec. 03",W. H. Ainsworth,['Ainsworth (W. H.)'],,Dec. 03,1903,
34,"Ainsworth (W. H.)-Windsor Castle: Historical Romance. 12mo. 61 x 41, pp. 442, 1s. 6d.; leather, 28. net (Coronation Series)... TREHERNE, Feb. 03",Ainsworth,W. H.,Windsor Castle: Historical Romance,TREHERNE,,12mo.,"Ainsworth (W. H.)-Windsor Castle: Historical Romance. 12mo. 61 x 41, pp. 442, 1s. 6d.; leather, 28. net (Coronation Series)... TREHERNE, Feb. 03",W. H. Ainsworth,['Ainsworth (W. H.)'],,Feb. 03,1903,
35,"Aitken (J. R.)-Sins of a Saint: Historical Romance. Cr. 8vo. 74 × 5, pp. 876, 6s. SONNENSCHEIN, July 03",Aitken,J. R.,Sins of a Saint: Historical Romance,SONNENSCHEIN,6s.,8vo.,"Aitken (J. R.)-Sins of a Saint: Historical Romance. Cr. 8vo. 74 × 5, pp. 876, 6s. SONNENSCHEIN, July 03",J. R. Aitken,['Aitken (J. R.)'],,July 03,1903,
36,"Aitken (R.) Windfalls: Stray Leaves gathered by Rolling Stone. Cr. 8vo. 7 x 5, pp. 810, 6s. SIMPKIN, Oct. 03",Aitken,R.,Windfalls: Stray Leaves gathered by Rolling Stone,SIMPKIN,6s.,8vo.,"Aitken (R.) Windfalls: Stray Leaves gathered by Rolling Stone. Cr. 8vo. 7 x 5, pp. 810, 6s. SIMPKIN, Oct. 03",R. Aitken,['Aitken (R.)'],,Oct. 03,1903,
37,"Albanesi (E. Maria)-Love, and Louisa: a Novel. Cr. 8vo. 7 × 47, pp. 366, 6s. ...... SANDS, Feb. 03",Albanesi,E. Maria,"Love, and Louisa: a Novel",SANDS,6s.,8vo.,"Albanesi (E. Maria)-Love, and Louisa: a Novel. Cr. 8vo. 7 × 47, pp. 366, 6s. ...... SANDS, Feb. 03",E. Maria Albanesi,['Albanesi (E. Maria)'],,Feb. 03,1903,
38,"Albanesi (E. Maria)-Susannah and One Elder. Cr. 8vo. 77 × 44, pp. 342, 6s. ...METHUEN, July 03",Albanesi,E. Maria,Susannah and One Elder,METHUEN,6s.,8vo.,"Albanesi (E. Maria)-Susannah and One Elder. Cr. 8vo. 77 × 44, pp. 342, 6s. ...METHUEN, July 03",E. Maria Albanesi,['Albanesi (E. Maria)'],,July 03,1903,
39,"Albini (F. De)-Marie Antoinette and the Diamond Necklace, from another Point of View. 2nd ed. cr. 8vo. swd. 6d. SONNENSCHEIN, Mar. 03",Albini,F. De,"Marie Antoinette and the Diamond Necklace, from another Point of View",SONNENSCHEIN,6d.,8vo.,"Albini (F. De)-Marie Antoinette and the Diamond Necklace, from another Point of View. 2nd ed. cr. 8vo. swd. 6d. SONNENSCHEIN, Mar. 03",F. De Albini,['Albini (F. De)'],,Mar. 03,1903,
40,"Albright (Catharine)-Letters from India. Cr. 8vo. 74 × 44, pp. 120, 1s. net...... SIMPKIN, Feb. 03",Albright,Catharine,Letters from India,SIMPKIN,1s.,8vo.,"Albright (Catharine)-Letters from India. Cr. 8vo. 74 × 44, pp. 120, 1s. net...... SIMPKIN, Feb. 03",Catharine Albright,['Albright (Catharine)'],,Feb. 03,1903,net
41,"Alcott (Louisa M.)-Good Wives: Story for Girls. Sequel to 'Little Women.' Illus. by Walter E. Webster. New ed. cr. 8vo. 7 × 5, pp. 224, 28. ..BLACKIE, Mar. 03",Alcott,Louisa M.,Good Wives: Story for Girls,BLACKIE,,8vo.,"Alcott (Louisa M.)-Good Wives: Story for Girls. Sequel to 'Little Women.' Illus. by Walter E. Webster. New ed. cr. 8vo. 7 × 5, pp. 224, 28. ..BLACKIE, Mar. 03",Louisa M. Alcott,['Alcott (Louisa M.)'],,Mar. 03,1903,
