,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
105,"Allen (A. W.)-Mill and cyanide handbook. 18mo. 64 x 41, pp. 138, 6s, net ....GRIFFIN, Oct. '18",Allen,A. W.,Mill and cyanide handbook,GRIFFIN,6s.,18mo.,"Allen (A. W.)-Mill and cyanide handbook. 18mo. 64 x 41, pp. 138, 6s, net ....GRIFFIN, Oct. '18",A. W. Allen,['Allen (A. W.)'],,Oct. '18,net
113,"Allerton (Mark)- The Case of Richard Eden. Cr. 8vo. 71 x 5, pp. 316, 5s. net HODDER & S., May '18",Allerton,Mark,The Case of Richard Eden,HODDER & S.,5s.,8vo.,"Allerton (Mark)- The Case of Richard Eden. Cr. 8vo. 71 x 5, pp. 316, 5s. net HODDER & S., May '18",Mark Allerton,['Allerton (Mark)'],,May '18,net
119,"Altsheler (Joseph A.)--The Great Sioux trail : a story of mountain and plain. 8vo. pp. 341, 6s. net.... . . . APPLETON, May '18",Altsheler,Joseph A.,The Great Sioux trail : a story of mountain and plain,APPLETON,6s.,8vo.,"Altsheler (Joseph A.)--The Great Sioux trail : a story of mountain and plain. 8vo. pp. 341, 6s. net.... . . . APPLETON, May '18",Joseph A. Altsheler,['Altsheler (Joseph A.)'],,May '18,net
120,"Amar (Jules, Prof.)-The Physiology of industrial organisation and the re-employment of the disabled. Tr. by Bernard Mall. Edw. notes and intro. by A. F. Stanley Kent. Illus. Ryl. 8vo. 10 X64, pp. 396, 30s, net LIBRARY PR., Dec.'18",Amar,"Jules, Prof.",The Physiology of industrial organisation and the re-employment of the disabled,LIBRARY PR.,30s.,8vo.,"Amar (Jules, Prof.)-The Physiology of industrial organisation and the re-employment of the disabled. Tr. by Bernard Mall. Edw. notes and intro. by A. F. Stanley Kent. Illus. Ryl. 8vo. 10 X64, pp. 396, 30s, net LIBRARY PR., Dec.'18","Jules, Prof. Amar","['Amar (Jules, Prof.)']",,Dec.'18,net
124,"Andersen (H. C.)-The Mermaid and other tales. Ed. by F. C. Tilney. 8vo. 2s. net (Tales for children from many lands) ..DENT, July '18",Andersen,H. C.,The Mermaid and other tales,DENT,2s.,8vo.,"Andersen (H. C.)-The Mermaid and other tales. Ed. by F. C. Tilney. 8vo. 2s. net (Tales for children from many lands) ..DENT, July '18",H. C. Andersen,['Andersen (H. C.)'],,July '18,net
126,"Anderson (David)-Euth Cavell, and other poems. CI. 8vo. 71 x 5, pp. 88, 2s. 6d net LONGMANS, Feb. '18",Anderson,David,"Euth Cavell, and other poems",LONGMANS,2s. 6d,8vo.,"Anderson (David)-Euth Cavell, and other poems. CI. 8vo. 71 x 5, pp. 88, 2s. 6d net LONGMANS, Feb. '18",David Anderson,['Anderson (David)'],,Feb. '18,net
127,"Anderson (G.) and Subedar (M)-The Expansion of British India, 1818-1858. 8vo. 85), PP. 208, 45, 6d. net ..G. BELL, Mar. '18",Anderson,G.,The Expansion of British India,G. BELL,6d.,8vo.,"Anderson (G.) and Subedar (M)-The Expansion of British India, 1818-1858. 8vo. 85), PP. 208, 45, 6d. net ..G. BELL, Mar. '18",G. Anderson,"['Anderson (G.)', 'Subedar (M)']",,Mar. '18,net
128,"Anderson (P. J.)-Ewen MacLachlan, librarian to University and King's College, Aberdeen, 1800-1818. 8vo. pp. 32. 1s. 6d. net ABERDEEN UNIV. PR., Nov. '18",Anderson,P. J.,"Ewen MacLachlan, librarian to University and King's College, Aberdeen",ABERDEEN UNIV. PR.,1s. 6d.,8vo.,"Anderson (P. J.)-Ewen MacLachlan, librarian to University and King's College, Aberdeen, 1800-1818. 8vo. pp. 32. Is. 6d. net ABERDEEN UNIV. PR., Nov. '18",P. J. Anderson,['Anderson (P. J.)'],,Nov. '18,net
130,"Anderson (Sir Robert) --Unfulfilled prophecy and The Hope of the Church. 2nd ed. Cr. 8vo. 71 x 5, pp. 117, 2s. net ... THYNNE, July '18",Anderson,Sir Robert,Unfulfilled prophecy and The Hope of the Church,THYNNE,2s.,8vo.,"Anderson (Sir Robert) --Unfulfilled prophecy and The Hope of the Church. 2nd ed. Cr. 8vo. 71 x 5, pp. 117, 2s. net ... THYNNE, July '18",Sir Robert Anderson,['Anderson (Sir Robert)'],,July '18,net
132,"Andrews (Ewart S) and Cocking (Walter C.)— Tables of safe loads on steel pillar, complying with L.C.C. (General Power:) Act, 1909. 8vo. 6s. ......J. SELWYN, Sep. '18",Andrews,Ewart S,"Tables of safe loads on steel pillar, complying with L.C.C. (General Power:) Act",J. SELWYN,6s.,8vo.,"Andrews (Ewart S) and Cocking (Walter C.)— Tables of safe loads on steel pillar, complying with L.C.C. (General Power:) Act, 1909. 8vo. 6s. ......J. SELWYN, Sep. '18",Ewart S Andrews,"['Andrews (Ewart S)', 'Cocking (Walter C.)']",,Sep. '18,
149,"Archar (William) — The Pirate's progress : a short history of the U-boat. 8vo. 8! X55, pp. 103, swd. 6d. net .....CHATTO & W., May '18",Archar,William,The Pirate's progress : a short history of the U-boat,CHATTO & W.,6d.,8vo.,"Archar (William) — The Pirate's progress : a short history of the U-boat. 8vo. 8! X55, pp. 103, swd. 6d. net .....CHATTO & W., May '18",William Archar,['Archar (William)'],,May '18,net
154,"Armand-Delilie (P.) and others—Malaria in Mace- donia. Pref. by Prof. Laveran. Tr. by J. D. Rolleston. Ed., w. pref., by Sir Ronald Koss. Cr. 8vo. 71 x 5, pp. 115, 6s. net (Military medical manuals) ... UNIV. OF LONDON PR., Apr. '18",Armand-Delilie,P.,Malaria in Mace- donia,UNIV. OF LONDON PR.,6s.,8vo.,"Armand-Delilie (P.) and others—Malaria in Mace- donia. Pref. by Prof. Laveran. Tr. by J. D. Rolleston. Ed., w. pref., by Sir Ronald Koss. Cr. 8vo. 71 x 5, pp. 115, 6s. net (Military medical manuals) ... UNIV. OF LONDON PR., Apr. '18",P. Armand-Delilie,['Armand-Delilie (P.)'],,Apr. '18,net
155,"Armitage (F. P.)-Chemistry. ist stage. 2nd and enl. ed. 18mo. 64 x 4, pp. 90, swd. is. 9d. LONGMANS, Mar. '18",Armitage,F. P.,Chemistry,LONGMANS,9d.,18mo.,"Armitage (F. P.)-Chemistry. ist stage. 2nd and enl. ed. 18mo. 64 x 4, pp. 90, swd. is. 9d. LONGMANS, Mar. '18",F. P. Armitage,['Armitage (F. P.)'],,Mar. '18,
156,"Armstrong (G. F. Savage) see Savage-Armstrong. Armstrong (H. 1.) ed.-The Book of New York verse. 8vo. 12s. 6d. net ....PUTNAM, Mar. '18",Armstrong,G. F. Savage,The Book of New York verse,PUTNAM,12s. 6d.,8vo.,"Armstrong (G. F. Savage) see Savage-Armstrong. Armstrong (H. 1.) ed.-The Book of New York verse. 8vo. 12s. 6d. net ....PUTNAM, Mar. '18",G. F. Savage Armstrong,"['Armstrong (G. F. Savage)', 'Armstrong (H. 1.)']",ed.,Mar. '18,net
157,"Armstrong (Martin)--Thirty new poems. Cr. 8vo. 71 X 5, pp. 85, 3s. 6d. net CHAPMAN & H., Mar. '18",Armstrong,Martin,Thirty new poems,CHAPMAN & H.,3s. 6d.,8vo.,"Armstrong (Martin)--Thirty new poems. Cr. 8vo. 71 X 5, pp. 85, 3s. 6d. net CHAPMAN & H., Mar. '18",Martin Armstrong,['Armstrong (Martin)'],,Mar. '18,net
158,"Armstrong (Robert) ed.-Old ballads of England and Scotland. Selected and ed., w. intro., his- torical notes and glossary. Cr. 8vo. 71 X 5, Pp. 203, 1s. 6d. ....RALPII, HOLLAND, Víay 'is Army-Allowances : Regulations, 1914. Repr. 1918. 9d. ..H.M. STATIONERY OFF., July '18",Armstrong,Robert,Old ballads of England and Scotland,H.M. STATIONERY OFF.,9d.,8vo.,"Armstrong (Robert) ed.-Old ballads of England and Scotland. Selected and ed., w. intro., his- torical notes and glossary. Cr. 8vo. 71 X 5, Pp. 203, Is. 6d. ....RALPII, HOLLAND, Víay 'is Army-Allowances : Regulations, 1914. Repr. 1918. 9d. ..H.M. STATIONERY OFF., July '18",Robert Armstrong,['Armstrong (Robert)'],ed.,July '18,
189,"Iomo. pp: Arnold (Matthew)-Essays in criticism. Ed., w. intro., by C. A. Miles and notes by L. Smith. Cr. 8vo. 71 X 51, pp. 350, 3s. 6d. net (Clarendon Pr.) MILFORD, July '18",Iomo. pp: Arnold,Matthew,Essays in criticism,MILFORD,3s. 6d.,8vo.,"Iomo. pp: Arnold (Matthew)-Essays in criticism. Ed., w. intro., by C. A. Miles and notes by L. Smith. Cr. 8vo. 71 X 51, pp. 350, 35. 6d. net (Clarendon Pr.) MILFORD, July '18",Matthew Iomo. pp: Arnold,['Iomo. pp: Arnold (Matthew)'],,July '18,net
196,"Artzibashef (Michael) —War: a play in four acts. Tr. by Percy Pinkerton and Ivan Ohzol. Cr. 8vo. 73 X 5, pp. 122, 38. 6d. net RICHARDS, Od. '18",Artzibashef,Michael,War: a play in four acts,RICHARDS,6d.,8vo.,"Artzibashef (Michael) —War: a play in four acts. Tr. by Percy Pinkerton and Ivan Ohzol. Cr. 8vo. 73 X 5, pp. 122, 38. 6d. net RICHARDS, Od. '18",Michael Artzibashef,['Artzibashef (Michael)'],,Od. '18,net
200,"Ash mead-Bartlett (F.)-Some of my experiences in the Great War. Cr. 8vo. 73 X5, pp. 1s7, 3s. 6d. net.. NOWNES, Lry'18",Ash mead-Bartlett,F.,Some of my experiences in the Great War,NOWNES,3s. 6d.,8vo.,"Ash mead-Bartlett (F.)-Some of my experiences in the Great War. Cr. 8vo. 73 X5, pp. 1S7, 3s. 6d. net.. NOWNES, Lry'18",F. Ash mead-Bartlett,['Ash mead-Bartlett (F.)'],,Lry'18,net
201,"Askew (Alice and Claude)-Barbara. New ed. 8vo. 91 x6, pp. 96, swd. 6d. net WEEKLY TELEGRAPH, May '18",Askew,Alice,Barbara,WEEKLY TELEGRAPH,6d.,8vo.,"Askew (Alice and Claude)-Barbara. New ed. 8vo. 91 x6, pp. 96, swd. 6d. net WEEKLY TELEGRAPH, May '18",Alice Askew,"['Askew (Alice)', 'Askew (Claude)']",,May '18,net
203,"Askew (Alice and Claude)-God's clay. 8vo. pp. 248, 1s. (Strand lib.) ......NEWNES, May '18",Askew,Alice,God's clay,NEWNES,1s.,8vo.,"Askew (Alice and Claude)-God's clay. 8vo. pp. 248, Is. (Strand lib.) ......NEWNES, May '18",Alice Askew,"['Askew (Alice)', 'Askew (Claude)']",,May '18,
204,"Askew (alice and Claude)-Her father's daughter. New ed. Cr. 8vo. 7! X 5, pp. 303, 2s. 60. net WARD, L., Feb. '/? Askew (Alice and Claude)-1,ady Borradale's ordeal. Cr. 8vo. 78 X 5, PP. 307, 5s. net WARD, LOCK, Od. '18",Askew,alice,Her father's daughter,"WARD, LOCK",5s.,8vo.,"Askew (alice and Claude)-Her father's daughter. New ed. Cr. 8vo. 7! X 5, pp. 303, 2s. 60. net WARD, L., Feb. '/? Askew (Alice and Claude)-1,ady Borradale's ordeal. Cr. 8vo. 78 X 5, PP. 307, 5s. net WARD, LOCK, Od. '18",alice Askew,"['Askew (alice)', 'Askew (Claude)']",,Od. '18,net
205,"Askew (A. and C.)-The Love stone. Cr. 8vo. swd. 1s. net .. NEWNES, Dcc. '18",Askew,A.,The Love stone,NEWNES,1s.,8vo.,"Askew (A. and C.)-The Love stone. Cr. 8vo. swd. Is. net .. NEWNES, Dcc. '18",A. Askew,"['Askew (A.)', 'Askew (C.)']",,Dcc. '18,net
206,"Askew (Alice and Claude)—The Paignton honour. Cr. 8vo. 75 X 5, pp. 304, 2s. 6d. net WARD, L., Feb. '18",Askew,Alice,The Paignton honour,"WARD, L.",2s. 6d.,8vo.,"Askew (Alice and Claude)—The Paignton honour. Cr. 8vo. 75 X 5, pp. 304, 25. 6d. net WARD, L., Feb. '18",Alice Askew,"['Askew (Alice)', 'Askew (Claude)']",,Feb. '18,net
207,"Asks w (Alice and Claude)---The Shulamite. 8vo. pp. 254, 1s. (Strand lib.) ..NEWNES, Alay '18",Asks w,Alice,The Shulamite,NEWNES,1s.,8vo.,"Asks w (Alice and Claude)---The Shulamite. 8vo. pp. 254, Is. (Strand lib.) ..NEWNES, Alay '18",Alice Asks w,"['Asks w (Alice)', 'Asks w (Claude)']",,Alay '18,
208,"Askow (Alice and Claude)--The Telephone girl. Cr. 8vo. 71 X5, pp. 304, 5s. net WARD, LOCK, June'18",Askow,Alice,The Telephone girl,"WARD, LOCK",5s.,8vo.,"Askow (Alice and Claude)--The Telephone girl. Cr. 8vo. 71 X5, pp. 304, 5s. net WARD, LOCK, June'18",Alice Askow,"['Askow (Alice)', 'Askow (Claude)']",,June'18,net
210,"Ashew (Alice and Claude)-The work of lier hands. Cr. 8vo. 78 X 5, pp. 252, 6s. net CHAPMAN & H., Apr. '18",Ashew,Alice,The work of lier hands,CHAPMAN & H.,6s.,8vo.,"Ashew (Alice and Claude)-The work of lier hands. Cr. 8vo. 78 X 5, pp. 252, 6s. net CHAPMAN & H., Apr. '18",Alice Ashew,"['Ashew (Alice)', 'Ashew (Claude)']",,Apr. '18,net
213,"Asquith (Rt. Hon. H. H.)--Some aspects of the Victorian Age. 8vo. 9 X6, pp. 28, swd. 2s, net (Romanes Lecture, 1918) (Clarendon Pr.) MILFORD, June '18",Asquith,Rt. Hon. H. H.,Some aspects of the Victorian Age,MILFORD,2s.,8vo.,"Asquith (Rt. Hon. H. H.)--Some aspects of the Victorian Age. 8vo. 9 X6, pp. 28, swd. 2s, net (Romanes Lecture, 1918) (Clarendon Pr.) MILFORD, June '18",Rt. Hon. H. H. Asquith,['Asquith (Rt. Hon. H. H.)'],,June '18,net
218,"Atnanassio-Banisty (Mine.)-Clinicalforms of nerve lusions. Pref. by Prof. Pierre Marie. Ed., w. pref., by F. Farquhar Buzzard. Cr. 8vo. 7* x 5, pp. 235, 6s. net (Military medical manuals) UNIV. OF LONDON PR., Feb. '18",Atnanassio-Banisty,Mine.,Clinicalforms of nerve lusions,UNIV. OF LONDON PR.,6s.,8vo.,"Atnanassio-Banisty (Mine.)-Clinicalforms of nerve lusions. Pref. by Prof. Pierre Marie. Ed., w. pref., by F. Farquhar Buzzard. Cr. 8vo. 7* x 5, pp. 235, 6s. net (Military medical manuals) UNIV. OF LONDON PR., Feb. '18",Mine. Atnanassio-Banisty,['Atnanassio-Banisty (Mine.)'],,Feb. '18,net
219,"Athanassio-Benisty (Mme.)-Treatment and repair of nerve lesions. Pref. by Prof. Pierre Marie. Ed., W. pref., by E. Farquhar Buzzard. Cr. 8vo. 74 X 5, pp. 203, 6s. net (Military medical mnanuals) .... UNIV. OF LONDON PR., Feb. '18",Athanassio-Benisty,Mme.,Treatment and repair of nerve lesions,UNIV. OF LONDON PR.,6s.,8vo.,"Athanassio-Benisty (Mme.)-Treatment and repair of nerve lesions. Pref. by Prof. Pierre Marie. Ed., W. pref., by E. Farquhar Buzzard. Cr. 8vo. 74 X 5, pp. 203, 6s. net (Military medical mnanuals) .... UNIV. OF LONDON PR., Feb. '18",Mme. Athanassio-Benisty,['Athanassio-Benisty (Mme.)'],,Feb. '18,net
224,"Attwood (Edward L.) and Cooper (1. C. G.)-A Text-book of laying off ; or, The Geometry of shipbuilding. 2nd ed. 8vo. 9x6, pp. 123, 6s. 6d. net ...LONGMANS, Feb. '18",Attwood,Edward L.,"A Text-book of laying off ; or, The Geometry of shipbuilding",LONGMANS,6s. 6d.,8vo.,"Attwood (Edward L.) and Cooper (1. C. G.)-A Text-book of laying off ; or, The Geometry of shipbuilding. 2nd ed. 8vo. 9x6, pp. 123, 6s. 6d. net ...LONGMANS, Feb. '18",Edward L. Attwood,"['Attwood (Edward L.)', 'Cooper (1. C. G.)']",,Feb. '18,net
225,"Atwood (Mary Anne)- A Suggestive inquiry int. the hermetic mystery. New ed., w. intro. by W. L. Wilmshurst. 8vo. pp. 597, 16s. WATKINS, Oct. '18",Atwood,Mary Anne,A Suggestive inquiry int,WATKINS,16s.,8vo.,"Atwood (Mary Anne)- A Suggestive inquiry int. the hermetic mystery. New ed., w. intro. by W. L. Wilmshurst. 8vo. pp. 597, 16s. WATKINS, Oct. '18",Mary Anne Atwood,['Atwood (Mary Anne)'],,Oct. '18,
229,"Augustine (St.) - Golden hours with St. Augustine. 8vo. 1s. 6d. net .HODDER & S., July’18",Augustine,St.,Golden hours with St,HODDER & S.,1s. 6d.,8vo.,"Augustine (St.) - Golden hours with St. Augustine. 8vo. Is. 6d. net .HODDER & S., July’18",St. Augustine,['Augustine (St.)'],,July’18,net
239,"Aydelotte (Frank)-The Oxford stamp and other essays : articles from the educational creed of an American Oxonian. Demy 8vo. 78 x 57, pp. 228, 6s. net MILFORD, Feb. '18",Aydelotte,Frank,The Oxford stamp and other essays : articles from the educational creed of an American Oxonian,MILFORD,6s.,8vo.,"Aydelotte (Frank)-The Oxford stamp and other essays : articles from the educational creed of an American Oxonian. Demy 8vo. 78 x 57, pp. 228, 6s. net MILFORD, Feb. '18",Frank Aydelotte,['Aydelotte (Frank)'],,Feb. '18,net
243,"Ayres (Ruby M.)—The Second honeymoon. 18mo. 78 x 41, pp. 253, is. 6d. net HODDER & S., May '18",Ayres,Ruby M.,The Second honeymoon,HODDER & S.,6d.,18mo.,"Ayres (Ruby M.)—The Second honeymoon. 18mo. 78 x 41, pp. 253, is. 6d. net HODDER & S., May '18",Ruby M. Ayres,['Ayres (Ruby M.)'],,May '18,net
246,"Ayscough (John)-Fernando. Cr. 8vo. 74x5, pp. 320, 7s. net ...LONG, Nov. '18",Ayscough,John,Fernando,LONG,7s.,8vo.,"Ayscough (John)-Fernando. Cr. 8vo. 74x5, pp. 320, 75. net ...LONG, Nov. '18",John Ayscough,['Ayscough (John)'],,Nov. '18,net
248,"Ayscough (John)-Jacqueline. Cr. 8vo. 71 x 5, pp. 318, 6s. net .CHATTO & W., Mar.'18",Ayscough,John,Jacqueline,CHATTO & W.,6s.,8vo.,"Ayscough (John)-Jacqueline. Cr. 8vo. 71 x 5, pp. 318, 6s. net .CHATTO & W., Mar.'18",John Ayscough,['Ayscough (John)'],,Mar.'18,net
249,"Ayscough (John)-The Tideway. Cr. 8vo. 78 x 5, pp. 320, 6s. net ..LONG, Feb. '18",Ayscough,John,The Tideway,LONG,6s.,8vo.,"Ayscough (John)-The Tideway. Cr. 8vo. 78 x 5, pp. 320, 6s. net ..LONG, Feb. '18",John Ayscough,['Ayscough (John)'],,Feb. '18,net
254,"Bacon (Charlotte) A Gallant affair. Cr. 8vo. 7X 41, pp. 61, 28. 6d. net E. MACDONALD, Sep. '18",Bacon,Charlotte,A Gallant affair,E. MACDONALD,6d.,8vo.,"Bacon (Charlotte) A Gallant affair. Cr. 8vo. 7X 41, pp. 61, 28. 6d. net E. MACDONALD, Sep. '18",Charlotte Bacon,['Bacon (Charlotte)'],,Sep. '18,net
257,"Baden-Powell (Sir Robert)--Girl guiding : hlbk. for guidelets, guides, senior guides, and guiders. Čr. 8vo. 71 x 5, pp. 204, swd. is. 6d. net .PEARSON, Feb. '18",Baden-Powell,Sir Robert,Girl guiding : hlbk,PEARSON,6d.,8vo.,"Baden-Powell (Sir Robert)--Girl guiding : hlbk. for guidelets, guides, senior guides, and guiders. Čr. 8vo. 71 x 5, pp. 204, swd. is. 6d. net .PEARSON, Feb. '18",Sir Robert Baden-Powell,['Baden-Powell (Sir Robert)'],,Feb. '18,net
258,"Baden-Powell (Sir Robert)-Scouting for boys : a hdbk, for instruction in good citizenship. 9th ed. Cr. 8vo. 74 x54, pp. 341, 3s. net PEARSON, June '18",Baden-Powell,Sir Robert,"Scouting for boys : a hdbk, for instruction in good citizenship",PEARSON,3s.,8vo.,"Baden-Powell (Sir Robert)-Scouting for boys : a hdbk, for instruction in good citizenship. 9th ed. Cr. 8vo. 74 x54, pp. 341, 3s. net PEARSON, June '18",Sir Robert Baden-Powell,['Baden-Powell (Sir Robert)'],,June '18,net
262,"Bailey (C. W.) see Stevenson (M.) and Bailey. Bailey (G. H.) and Bausor (H. W.)-Senior chemistry. 2nd ed. Cr. 8vo. 7X 44, pp. 526, 5s. ... UNIV. TUTOR. PR., July '18",Bailey,C. W.,Senior chemistry,UNIV. TUTOR. PR.,5s.,8vo.,"Bailey (C. W.) see Stevenson (M.) and Bailey. Bailey (G. H.) and Bausor (H. W.)-Senior chemistry. 2nd ed. Cr. 8vo. 7X 44, pp. 526, 55. ... UNIV. TUTOR. PR., July '18",C. W. Bailey,"['Bailey (C. W.)', 'Bailey (G. H.)', 'Bausor (H. W.)']",,July '18,
