,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
6418,"Shakespeare (William)-The Life and death of King John. Cr. 8vo. 7} X51, 6d, net. (Oxford plain text) (Clarendon Press) MILFORD, Aug. 14",Shakespeare,William,The Life and death of King John,MILFORD,,0.0,8vo.,"Shakespeare (William)-The Life and death of King John. Cr. 8vo. 7} X51, 6d, net. (Oxford plain text) (Clarendon Press) MILFORD, Aug. 14",William Shakespeare,['Shakespeare (William)'],,Aug. 14,
6419,"Shakespeare (William)— The Life of King Henry the Eighth. Cr. 8vo. 7X51, 6d. net. (Oxford plain text) (Clarendon Press) MILFORD, Aug. 14",Shakespeare,William,The Life of King Henry the Eighth,MILFORD,,0.0,8vo.,"Shakespeare (William)— The Life of King Henry the Eighth. Cr. 8vo. 7X51, 6d. net. (Oxford plain text) (Clarendon Press) MILFORD, Aug. 14",William Shakespeare,['Shakespeare (William)'],,Aug. 14,
6420,"Shakespeare (William)— The Life of King Henry the Fifth. Cr. 8vo. 71 x 5}, 6d. net. (Oxford plain text (Clarendon Press) MILFORD, Aug. 14",Shakespeare,William,The Life of King Henry the Fifth,MILFORD,,0.0,8vo.,"Shakespeare (William)— The Life of King Henry the Fifth. Cr. 8vo. 71 x 5}, 6d. net. (Oxford plain text (Clarendon Press) MILFORD, Aug. 14",William Shakespeare,['Shakespeare (William)'],,Aug. 14,
6421,"Shakespeare (William)-Macbeth. 18mo. 31 X2}, Ithr. 1s. net. (Langham booklets, 144) SIEGLE, H., May 14",Shakespeare,William,Macbeth,"SIEGLE, H.",,0.0,18mo.,"Shakespeare (William)-Macbeth. 18mo. 31 X2}, Ithr. Is. net. (Langham booklets, 144) SIEGLE, H., May 14",William Shakespeare,['Shakespeare (William)'],,May 14,
6424,"Shakespeare (William)-Much Ado about nothing. Cr. 8vo. 7* *5), 6d. net. (Oxford plain text) (Clarendon Press) MILFORD, Aug. 14",Shakespeare,William,Much Ado about nothing,MILFORD,,0.0,8vo.,"Shakespeare (William)-Much Ado about nothing. Cr. 8vo. 7* *5), 6d. net. (Oxford plain text) (Clarendon Press) MILFORD, Aug. 14",William Shakespeare,['Shakespeare (William)'],,Aug. 14,
6425,"Shakespeare (William)-The Tempest. 18mo. 31 X2), Ithr. is. net. (Langham booklets, 143) SIEGLE, H., May 14",Shakespeare,William,The Tempest,"SIEGLE, H.",,0.0,18mo.,"Shakespeare (William)-The Tempest. 18mo. 31 X2), Ithr. is. net. (Langham booklets, 143) SIEGLE, H., May 14",William Shakespeare,['Shakespeare (William)'],,May 14,
6428,"Shakspear (L. W.)-History of Upper Assam, Upper Burmah, and North-Eastern Frontier. Illus. 8vo. 81x5), pp. 292, ios. net MACMILLAN, Nov. 14",Shakspear,L. W.,"History of Upper Assam, Upper Burmah, and North-Eastern Frontier",MACMILLAN,,0.0,8vo.,"Shakspear (L. W.)-History of Upper Assam, Upper Burmah, and North-Eastern Frontier. Illus. 8vo. 81x5), pp. 292, ios. net MACMILLAN, Nov. 14",L. W. Shakspear,['Shakspear (L. W.)'],,Nov. 14,
6430,"Shankar (P.S.)---Buddha and his sayings. Cr. 8vo., .F. GRIFFITHS, Aug. 14",Shankar,P.S.,Buddha and his sayings,F. GRIFFITHS,,0.0,8vo.,"Shankar (P.S.)---Buddha and his sayings. Cr. 8vo., .F. GRIFFITHS, Aug. 14",P.S. Shankar,['Shankar (P.S.)'],,Aug. 14,
6432,"Sharland (Rose E.)-Ballads of old Bristoí. 12.o. 64 X4, pp. 70, 1s. 6d. net, swd. is. net ARROWSMITH, June 14",Sharland,Rose E.,Ballads of old Bristoí,ARROWSMITH,,0.0,,"Sharland (Rose E.)-Ballads of old Bristoí. 12.o. 64 X4, pp. 70, Is. 6d. net, swd. is. net ARROWSMITH, June 14",Rose E. Sharland,['Sharland (Rose E.)'],,June 14,
6433,"Sharp (Cecil J.)-A Midsummer night's dream : songs and incidental music arranged and com- posed by C. J. S, for Granville Barker's pro- duction at the Savoy Theatre, Jan., 1914. 4to., Swd. s. 60. net SIMPKIN, Feb. 14",Sharp,Cecil J.,"A Midsummer night's dream : songs and incidental music arranged and com- posed by C. J. S, for Granville Barker's pro- duction at the Savoy Theatre, Jan",SIMPKIN,,0.0,4to.,"Sharp (Cecil J.)-A Midsummer night's dream : songs and incidental music arranged and com- posed by C. J. S, for Granville Barker's pro- duction at the Savoy Theatre, Jan., 1914. 4to., Swd. IS. 60. net SIMPKIN, Feb. 14",Cecil J. Sharp,['Sharp (Cecil J.)'],,Feb. 14,
6435,"Sharp (Granville) — The Climbing way, and other addresses to children. Cr. 8vo., 74 X 41, pp. 128, is. net CONGREGATIONAL UNION, Mar. 14",Sharp,Granville,"The Climbing way, and other addresses to children",CONGREGATIONAL UNION,,0.0,8vo.,"Sharp (Granville) — The Climbing way, and other addresses to children. Cr. 8vo., 74 X 41, pp. 128, is. net CONGREGATIONAL UNION, Mar. 14",Granville Sharp,['Sharp (Granville)'],,Mar. 14,
6440,"Shaw (Bernard)—Cashel Byron's profession. Pop. edit. 12mo., pp. 336, is. net CONSTABLE, Sep. 14",Shaw,Bernard,Cashel Byron's profession,CONSTABLE,,0.0,12mo.,"Shaw (Bernard)—Cashel Byron's profession. Pop. edit. 12mo., pp. 336, is. net CONSTABLE, Sep. 14",Bernard Shaw,['Shaw (Bernard)'],,Sep. 14,
6445,"Shaw (G. Bernard)—The Irrational knot. 18mo. 64 x 4$, pp. 336, is, net ..CONSTABLE, July 14",Shaw,G. Bernard,The Irrational knot,CONSTABLE,,0.0,18mo.,"Shaw (G. Bernard)—The Irrational knot. 18mo. 64 x 4$, pp. 336, is, net ..CONSTABLE, July 14",G. Bernard Shaw,['Shaw (G. Bernard)'],,July 14,
6448,"Shaw (G. Bernard)—An Unsocial socialist. Pop. edit. 12mo., pp. 332, is. net CONSTABLE, July 14",Shaw,G. Bernard,An Unsocial socialist,CONSTABLE,,0.0,12mo.,"Shaw (G. Bernard)—An Unsocial socialist. Pop. edit. 12mo., pp. 332, is. net CONSTABLE, July 14",G. Bernard Shaw,['Shaw (G. Bernard)'],,July 14,
6454,"Shaw (Stanley)—The Kaiser, 1859–1914. Pop. edit., with a new chapter dealing with the war. 12mo., pp. 252, is. net...... METHUEN, Nov. 14",Shaw,Stanley,The Kaiser,METHUEN,,0.0,12mo.,"Shaw (Stanley)—The Kaiser, 1859–1914. Pop. edit., with a new chapter dealing with the war. 12mo., pp. 252, is. net...... METHUEN, Nov. 14",Stanley Shaw,['Shaw (Stanley)'],,Nov. 14,
6455,"Shaw (Thomas)—Management and breeding of sheep. Cr. 8vo., Ios, net ..K. PAUL, May 14",Shaw,Thomas,Management and breeding of sheep,K. PAUL,,0.0,8vo.,"Shaw (Thomas)—Management and breeding of sheep. Cr. 8vo., Ios, net ..K. PAUL, May 14",Thomas Shaw,['Shaw (Thomas)'],,May 14,
6460,"Shearer (John)-Christianity with nature. Cr. 8vo. limp, is. net ........CENTURY PRESS, June 14",Shearer,John,Christianity with nature,CENTURY PRESS,,0.0,8vo.,"Shearer (John)-Christianity with nature. Cr. 8vo. limp, is. net ........CENTURY PRESS, June 14",John Shearer,['Shearer (John)'],,June 14,
6461,"Shebbeare (Charles J.)-Religion in age of doubt. 8vo. 9 X55, pp. 240, 58. net. (Library of historic theology) .R. SCOTT, Jan. 14",Shebbeare,Charles J.,Religion in age of doubt,R. SCOTT,,0.0,8vo.,"Shebbeare (Charles J.)-Religion in age of doubt. 8vo. 9 X55, pp. 240, 58. net. (Library of historic theology) .R. SCOTT, Jan. 14",Charles J. Shebbeare,['Shebbeare (Charles J.)'],,Jan. 14,
6472,"Sheldon (Gilbert)—Bubble fortune: a story of 1720. Cr. 8vo., pp. 318, is, net. (The Way- farer's library) .DENT, Mar. 14",Sheldon,Gilbert,Bubble fortune: a story of,DENT,,0.0,8vo.,"Sheldon (Gilbert)—Bubble fortune: a story of 1720. Cr. 8vo., pp. 318, is, net. (The Way- farer's library) .DENT, Mar. 14",Gilbert Sheldon,['Sheldon (Gilbert)'],,Mar. 14,
6476,"Shelley (Henry C.)-Royal castles of England. Illus. 8vo. 8{X54, pp. 364, Ios. 60. net SIMPKIN, Feb. 14",Shelley,Henry C.,Royal castles of England,SIMPKIN,,0.0,8vo.,"Shelley (Henry C.)-Royal castles of England. Illus. 8vo. 8{X54, pp. 364, Ios. 60. net SIMPKIN, Feb. 14",Henry C. Shelley,['Shelley (Henry C.)'],,Feb. 14,
