entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Anæsthetics, Coroners' Committee Report re Deaths from, id...... .WYMAN, Apr. 10",,,"Anæsthetics, Coroners' Committee Report re Deaths from, id.",WYMAN,,,"Anæsthetics, Coroners' Committee Report re Deaths from, id...... .WYMAN, Apr. 10",,,,Apr. 10,1910,
"Ancient Monuments in Wales and Monmouth- shire, Report of Commission on, 2fd. WYMAN, Aug. 10",,,"Ancient Monuments in Wales and Monmouth- shire, Report of Commission on",WYMAN,,,"Ancient Monuments in Wales and Monmouth- shire, Report of Commission on, 2fd. WYMAN, Aug. 10",,,,Aug. 10,1910,
"Andersen (Hans)--Fairy Tales (Selections from). Illus. by Gilbert James. 8vo. 61 X5, pp. 64, s, net (Langham Ser. for Children, No. 1) SIEGLE, H., Aug. 10",,,,"SIEGLE, H.",,8vo.,"Andersen (Hans)--Fairy Tales (Selections from). Illus. by Gilbert James. 8vo. 61 X5, pp. 64, IS, net (Langham Ser. for Children, No. 1) SIEGLE, H., Aug. 10",,['Andersen (Hans)--Fairy Tales (Selections from)'],,Aug. 10,1910,
"Anderson (Major A. T.)-The Field Gunner's Catechism. 3rd edit. 16mo. swd. 1s. 6d, net, GALE & P., Aug. 10",Anderson,Major A. T.,The Field Gunner's Catechism,GALE & P.,,16mo.,"Anderson (Major A. T.)-The Field Gunner's Catechism. 3rd edit. 16mo. swd. Is. 6d, net, GALE & P., Aug. 10",Major A. T. Anderson,['Anderson (Major A. T.)'],,Aug. 10,1910,
"Anderson (J. H.)--The Battle of Liao-Yang. 8vo., pp. 56, swd. is. 6d. net, H. REES, Apr. 10",Anderson,J. H.,The Battle of Liao-Yang,H. REES,,8vo.,"Anderson (J. H.)--The Battle of Liao-Yang. 8vo., pp. 56, swd. is. 6d. net, H. REES, Apr. 10",J. H. Anderson,['Anderson (J. H.)'],,Apr. 10,1910,
"Anderson (J. H.)—Russo-Turkish War, 1877-8, in Europe. 8vo. 81 X54, pp. 112, 3s. 60. net .H. REES, Sep. 10",Anderson,J. H.,Russo-Turkish War,H. REES,,8vo.,"Anderson (J. H.)—Russo-Turkish War, 1877-8, in Europe. 8vo. 81 X54, pp. 112, 35. 60. net .H. REES, Sep. 10",J. H. Anderson,['Anderson (J. H.)'],,Sep. 10,1910,
"Anderson (R. C.)-Naval Wars in the Baltic during the Sailing-ship Epoch, 1522–1850. 8vo. 8* X5, pp. 423, 159. C. GILBERT-WOOD, Mar. 10",Anderson,R. C.,Naval Wars in the Baltic during the Sailing-ship Epoch,C. GILBERT-WOOD,,8vo.,"Anderson (R. C.)-Naval Wars in the Baltic during the Sailing-ship Epoch, 1522–1850. 8vo. 8* X5, pp. 423, 159. C. GILBERT-WOOD, Mar. 10",R. C. Anderson,['Anderson (R. C.)'],,Mar. 10,1910,
"Anderton (Basil)-Fragrance Among Old Volumes: Essays and 1dylls of a Booklover. 4to. 84 X64, pp. 124, 78. od. net K. PAUL, Dec. 10",Anderton,Basil,Fragrance Among Old Volumes: Essays and,K. PAUL,,4to.,"Anderton (Basil)-Fragrance Among Old Volumes: Essays and Idylls of a Booklover. 4to. 84 X64, pp. 124, 78. od. net K. PAUL, Dec. 10",Basil Anderton,['Anderton (Basil)'],,Dec. 10,1910,
"Andom (R.)-Our Flat. Cr. 8vo. 77X5, PP. 286, CASSELI, Mar. 10",Andom,R.,Our Flat,CASSELI,,8vo.,"Andom (R.)-Our Flat. Cr. 8vo. 77X5, PP. 286, CASSELI, Mar. 10",R. Andom,['Andom (R.)'],,Mar. 10,1910,
"Andom (R.)-We Three and Troddles. Popular edit. Cr. 8vo., pp. 250, is. net JARROLD, Aug. 10",Andom,R.,We Three and Troddles,JARROLD,,8vo.,"Andom (R.)-We Three and Troddles. Popular edit. Cr. 8vo., pp. 250, is. net JARROLD, Aug. 10",R. Andom,['Andom (R.)'],,Aug. 10,1910,
