,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
5719,"Local Government Board (Ireland)--41st annual report, 1912–13. is. 9d. ....WYMAN, Sep. 13",Local Government Board,Ireland,,WYMAN,9d.,,"Local Government Board (Ireland)--41st annual report, 1912–13. is. 9d. ....WYMAN, Sep. 13",Ireland Local Government Board,['Local Government Board (Ireland)'],,Sep. 13,1913,
5722,"Local Government Board (Scotland)—18th annual report, 1912. is. rod. . . . . . . WYMAN, May 13",Local Government Board,Scotland,,WYMAN,,,"Local Government Board (Scotland)—18th annual report, 1912. is. rod. . . . . . . WYMAN, May 13",Scotland Local Government Board,['Local Government Board (Scotland)'],,May 13,1913,
5762,"Logging, Bryant (R. C.) 15s. net Logic. By various authors. 8vo. 9X51, pp. 280, 7s. 6d, net (Encyclopædia of the philoso- phical sciences) MACMILLAN, Sep. 13","Logging, Bryant",R. C.,,MACMILLAN,7s. 6d.,8vo.,"Logging, Bryant (R. C.) 155. net Logic. By various authors. 8vo. 9X51, pp. 280, 7s. 6d, net (Encyclopædia of the philoso- phical sciences) MACMILLAN, Sep. 13","R. C. Logging, Bryant","['Logging, Bryant (R. C.)']",,Sep. 13,1913,net
5775,"London, Thackeray's, Smith (F. H.) 15s. net London Traffic-5th report of the London Traffic Branch of the Board of Trade, 1912. 6s. WYMAN, Feb. 13","London, Thackeray's, Smith",F. H.,,WYMAN,6s.,,"London, Thackeray's, Smith (F. H.) 155. net London Traffic-5th report of the London Traffic Branch of the Board of Trade, 1912. 6s. WYMAN, Feb. 13","F. H. London, Thackeray's, Smith","[""London, Thackeray's, Smith (F. H.)""]",,Feb. 13,1913,
5781,"Longfellow birthday book (A.) 16mo. 4*X3}, 1s. net; Ithr. 2s. 60. net. (Langham birthday books, 3) . SIEGLE, H., Oct. 13",Longfellow birthday book,A.,,"SIEGLE, H.",,,"Longfellow birthday book (A.) 16mo. 4*X3}, Is. net; Ithr. 25. 60. net. (Langham birthday books, 3) . SIEGLE, H., Oct. 13",A. Longfellow birthday book,['Longfellow birthday book (A.)'],,Oct. 13,1913,
5804,"Lot's wife, Judd (A. M.) 6s.. Lotus gospel : World healers, Gordon (E. A.) 32s. 6d. net.. Loughlin (G. F.)-The Gabbros and associated rocks at Preston, Connecticut. (U.S. Geol. Surv.) Illus. 8vo. 9 X6, pp. 158, swd. 2s. 6d. net WESLEY, Mar. 13","Lot's wife, Judd",A. M.,,WESLEY,2s. 6d.,8vo.,"Lot's wife, Judd (A. M.) 6s.. Lotus gospel : World healers, Gordon (E. A.) 325. 6d. net.. Loughlin (G. F.)-The Gabbros and associated rocks at Preston, Connecticut. (U.S. Geol. Surv.) Illus. 8vo. 9 X6, pp. 158, swd. 2s. 6d. net WESLEY, Mar. 13","A. M. Lot's wife, Judd","[""Lot's wife, Judd (A. M.)""]",,Mar. 13,1913,net
5819,"Lunacy (Ireland)—62nd annual report of the inspectors of lunatics (Ireland), 1912. 11 d. WYMAX, Aug. 13",Lunacy,Ireland,,WYMAX,,,"Lunacy (Ireland)—62nd annual report of the inspectors of lunatics (Ireland), 1912. 11 d. WYMAX, Aug. 13",Ireland Lunacy,['Lunacy (Ireland)'],,Aug. 13,1913,
5820,"Lunacy (Scotland)-55th annual report of the General Board of Commissioners. s. id. WYMAN, June 13",Lunacy,Scotland,,WYMAN,,,"Lunacy (Scotland)-55th annual report of the General Board of Commissioners. IS. id. WYMAN, June 13",Scotland Lunacy,['Lunacy (Scotland)'],,June 13,1913,
5889,"Macaulay (Thonias Babington, Lord)—1ssay on Frederic the Great. Edit. by David Salmon. Cr. 8vo., 2s. ..........LONGMANS, June 13",Macaulay,"Thonias Babington, Lord",,LONGMANS,2s.,8vo.,"Macaulay (Thonias Babington, Lord)—Issay on Frederic the Great. Edit. by David Salmon. Cr. 8vo., 25. ..........LONGMANS, June 13","Thonias Babington, Lord Macaulay","['Macaulay (Thonias Babington, Lord)']",,June 13,1913,
5931,"Macdonald (Frank)-11is brother's shoes. Cr. 8vo. 71 X5, pp. 320, 6s. F. V. WHITE, Apr. 13",Macdonald,Frank,,F. V. WHITE,6s.,8vo.,"Macdonald (Frank)-11is brother's shoes. Cr. 8vo. 71 X5, pp. 320, 6s. F. V. WHITE, Apr. 13",Frank Macdonald,['Macdonald (Frank)'],,Apr. 13,1913,
