entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
"Acts—Thames Conservancy (Appointments and Tolls) Provisional Order, 9d. Dick Trust Order Confirmation, ed. W'YMAN, Dec, 10",,,Acts—Thames Conservancy (Appointments and Tolls) Provisional Order,W'YMAN,,0.0,,"Acts—Thames Conservancy (Appointments and Tolls) Provisional Order, 9d. Dick Trust Order Confirmation, ed. W'YMAN, Dec, 10",,,,"Dec, 10",
"Acts—Treasury, Temporary Borrowing, d.; War Loan Redemption, }d. ..WYMAN, Mar. 10",,,"Acts—Treasury, Temporary Borrowing, d",WYMAN,,0.0,,"Acts—Treasury, Temporary Borrowing, d.; War Loan Redemption, }d. ..WYMAN, Mar. 10",,,,Mar. 10,
"Acts—Wear Navigation and Sunderland Dock, 6d. ; Consolidated Fund, No. 2, 4d. WYMAN, June 10",,,Acts—Wear Navigation and Sunderland Dock,WYMAN,4d.,0.016666666666666666,,"Acts—Wear Navigation and Sunderland Dock, 6d. ; Consolidated Fund, No. 2, 4d. WYMAN, June 10",,,,June 10,
"Acts—Wimbledon and Sutton Railway, 45, 3d. ; Montrose Water Order Confirmation, 33, ; Tynemouth Corporation, 1s. 6d. ; Wemyss and District Water Order Confirmation, 5s. 3d.; Lancashire and Yorkshire Railway Act, 5s.6d.; Gowerton Gas, 2s.; Electric Lighting Orders Confirmation, No. 1, 2s. 9d. WYMAN, Oct. 1o Acts (I.ocal)-Exmouth Urban District Water, s. ; Farnham Gas and Electricity, 2s. 6d.; Reading and District Electric Supply, is. 6d.; Saint Just-in-Roscland Experimental Dock Works, 3d. ; Land Drainage Provisional Order, No. 2, 3d. ; Local Government Board (Ireland) Provisional Order, No. 6, 3d.; No. 4, 9d. ; Railway Passengers Assurance Company (Transfer to North British and Mercantile Insurance Company), 1s..... ..WYMAN, Sep. 10",,,Acts—Wimbledon and Sutton Railway,WYMAN,1s.,0.05,,"Acts—Wimbledon and Sutton Railway, 45, 3d. ; Montrose Water Order Confirmation, 33, ; Tynemouth Corporation, Is. 6d. ; Wemyss and District Water Order Confirmation, 55. 3d.; Lancashire and Yorkshire Railway Act, 5s.6d.; Gowerton Gas, 25.; Electric Lighting Orders Confirmation, No. 1, 2s. 9d. WYMAN, Oct. 1o Acts (I.ocal)-Exmouth Urban District Water, IS. ; Farnham Gas and Electricity, 25. 6d.; Reading and District Electric Supply, is. 6d.; Saint Just-in-Roscland Experimental Dock Works, 3d. ; Land Drainage Provisional Order, No. 2, 3d. ; Local Government Board (Ireland) Provisional Order, No. 6, 3d.; No. 4, 9d. ; Railway Passengers Assurance Company (Transfer to North British and Mercantile Insurance Company), Is..... ..WYMAN, Sep. 10",,,,Sep. 10,
"Advertisement Canvassers' Manual, 1910. 8vo. 74 X5, pp. 271, 3s. 6d. net INFORMATION BUREAU, LID., Feb. 10",,,Advertisement Canvassers' Manual,"INFORMATION BUREAU, LID.",3s. 6d.,0.175,8vo.,"Advertisement Canvassers' Manual, 1910. 8vo. 74 X5, pp. 271, 3s. 6d. net INFORMATION BUREAU, LID., Feb. 10",,,,Feb. 10,net
"Adviser (The) 1910. Ryl. iómo, bds. s. R. J. JAMES, Dec. 10",,,Adviser (The),R. J. JAMES,,0.0,,"Adviser (The) 1910. Ryl. iómo, bds. IS. R. J. JAMES, Dec. 10",,,,Dec. 10,
"Aero Manual (The). Compiled by the Staff of the “Motor. Second edit. 8vo. 74 x 54, pp. 208, s. 6d. net TEMPLE PRESS, June 10",,,Aero Manual (The),TEMPLE PRESS,6d.,0.025,8vo.,"Aero Manual (The). Compiled by the Staff of the “Motor. Second edit. 8vo. 74 x 54, pp. 208, IS. 6d. net TEMPLE PRESS, June 10",,,,June 10,net
"Aeronautics, Report of Advisory Committee for, 1909-10, 8s. 5d. WYMAN, Aug. 10",,,"Aeronautics, Report of Advisory Committee for",WYMAN,8s. 5d.,0.42083333333333334,,"Aeronautics, Report of Advisory Committee for, 1909-10, 8s. 5d. WYMAN, Aug. 10",,,,Aug. 10,
"Aeroplane Portfolio (The). In ase, is. net P. MARSHALL, Mar. 10",,,Aeroplane Portfolio (The),P. MARSHALL,,0.0,,"Aeroplane Portfolio (The). In ase, is. net P. MARSHALL, Mar. 10",,,,Mar. 10,
"Æschylus --Agamemnon. With Verse Trans., Intro. and Notes, by Walter Headlam. 8vo., pp. 278, ros. net CAMB. UNIV. PRESS, Oct. 10",,,Æschylus --Agamemnon,CAMB. UNIV. PRESS,,0.0,8vo.,"Æschylus --Agamemnon. With Verse Trans., Intro. and Notes, by Walter Headlam. 8vo., pp. 278, ros. net CAMB. UNIV. PRESS, Oct. 10",,,,Oct. 10,
